DOEID,Census Region,Census Division,Final sample weight,"Heating degree days in 2009, base temperature 65F","Cooling degree days in 2009, base temperature 65F","Total Site Electricity usage, in kilowatt-hours, 2009","Total Site Electricity usage, in thousand BTU, 2009","Total Natural Gas usage, in hundred cubic feet, 2009","Total Natural Gas usage, in thousand BTU, 2009","Natural Gas usage for water heating, in thousand BTU, 2009","Natural Gas usage for space heating, in thousand BTU, 2009","Natural gas usage for cooking (stoves, cooktops, and ovens), in thousand Btu, 2015","Natural gas usage for clothes dryers, in thousand Btu, 2015","Natural gas usage for swimming pool heaters, in thousand Btu, 2015","Natural gas usage for hot tub heaters, in thousand Btu, 2015","Natural gas usage for other devices and purposes not elsewhere classified, in thousand Btu, 2015","Electricity usage for space heating, main and secondary, in thousand Btu, 2015","Electricity usage for air conditioning (central systems and individual units), in thousand Btu, 2015","Electricity usage for water heating, main and secondary, in thousand Btu, 2015","Electricity usage for all refrigerators, in thousand Btu, 2015","Electricity usage for freezers, in thousand Btu, 2015","Electricity usage for cooking (stoves, cooktops, and ovens), in thousand Btu, 2015","Electricity usage for microwaves, in thousand Btu, 2015","Electricity usage for clothes washers, in thousand Btu, 2015","Electricity usage for clothes dryers, in thousand Btu, 2015","Electricity usage for dishwashers, in thousand Btu, 2015","Electricity usage for indoor and outdoor lighting, in thousand Btu, 2015","Electricity usage for all televisions and related peripherals, in thousand Btu, 2015","Electricity usage for air handlers and boiler pumps used for heating, in thousand Btu, 2015","Electricity usage for air handlers used for cooling, in thousand Btu, 2015","Electricity usage for evaporative coolers, in thousand Btu, 2015","Electricity usage for ceiling fans, in thousand Btu, 2015","Electricity usage for dehumidifiers, in thousand Btu, 2015","Electricity usage for humidifiers, in thousand Btu, 2015","Electricity usage for swimming pool pumps, in thousand Btu, 2015","Electricity usage for hot tub pumps, in thousand Btu, 2015","Electricity usage for hot tub heaters, in thousand Btu, 2015","Electricity usage for other devices and purposes not elsewhere classified, in thousand Btu, 2015"
11910,1,2,25612.52022,5467,718,8318.611,28383.1,698.219,69352.179,16388.913,46431.029,4253.48,2278.757,0,0,0,0,1694.752,0,815.824,0,0,1414.467,229.853,0,649.358,9302.712,2000.015,1080.779,72.185,0,2318.048,2679.257,2057.53,0,0,0,4068.321
11911,4,10,9866.979072,22,4632,7360,25114,0,0,0,0,0,0,0,0,0,0,10785.994,3912.09,1509.035,0,172.333,1320.444,87.218,1124.858,0,3023.438,1337.06,0,508.429,0,0,0,0,0,0,0,1331.424
11912,2,3,29076.77517,5542,1081,2103.508,7177.168,10.26,1035.12,0,0,267.21,767.91,0,0,0,439.784,310.322,1294.201,2171.618,0,0,93.534,45.506,0,116.352,1062.744,507.906,10.362,13.953,0,0,0,141.052,0,0,0,969.834
11913,1,2,63520.10204,6549,638,7087,24180,852.386,90689.498,0,87511.202,3178.297,0,0,0,0,0,1605.97,13266.184,1850.082,1557.998,0,234.616,111.03,1144.856,0,116.1,2404.552,733.447,0,0,0,0,0,0,0,0,1156.003
11914,3,7,18349.86221,3101,2210,11015.81,37585.945,310.063,31558.437,9519.523,22038.913,0,0,0,0,0,0,14169.869,3055.12,4859.42,0,1473.666,135.554,164.084,1680.814,749.861,3025.224,1632.973,468.963,745.438,0,145.405,0,0,4037.634,0,0,1241.918
11915,2,3,21797.74301,6330,794,23408.609,79870.174,0,0,0,0,0,0,0,0,0,46497.85,1812.481,13872.293,3640.391,901.615,551.965,472.711,82.024,1665.705,226.03,1363.095,462.049,0,0,0,172.918,2911.957,647.874,0,0,0,4589.214
11916,1,1,26136.91795,6348,890,7954.261,27139.938,0,0,0,0,0,0,0,0,0,0,2099.067,1675.382,2484.176,2526.515,1906.29,191.428,137.464,0,637.975,3495.658,6180.91,70.327,0,0,577.94,0,0,2078.118,0,0,3078.69
11917,3,7,18456.16248,3961,1560,6794.201,23181.814,0,0,0,0,0,0,0,0,0,6250.453,5449.91,5593.13,763.023,0,0,169.299,54.524,574.55,0,1293.394,983,0,0,0,0,0,0,0,0,0,2050.531
11918,2,3,17308.95847,5876,991,6989,23846,0,0,0,0,0,0,0,0,0,9420.935,1225.775,5580.357,918.78,1387.95,452.39,197.285,0,0,0,1479.948,1402.956,0,0,0,0,0,0,0,0,0,1780.095
11919,3,5,12256.86667,574,3653,20075.474,68497.518,0,0,0,0,0,0,0,0,0,4043.559,23362.814,6655.342,5730.119,0,971.104,540.297,82.203,1669.245,533.08,10154.116,4621.3,71.664,1627.391,0,2184.955,0,0,992.829,0,0,5257.499
11920,3,6,6358.788464,3851,1184,13397.294,45711.568,0,0,0,0,0,0,0,0,0,13522.938,1863.388,18519.965,1620.478,0,1088.671,237.133,308.594,3914.556,0,1444.738,2047.545,212.287,80.212,0,0,0,0,0,0,0,851.06
11921,4,10,26924.66951,1951,2758,2570.271,8769.763,174.983,17705.932,11119.409,5888.663,697.861,0,0,0,0,0,2293.746,0,1538.558,0,0,734.894,0,0,0,637.707,1686.502,81.782,94.933,0,0,0,0,0,0,0,1701.64
11922,3,5,30072.13359,317,4419,21420.589,73087.051,0,0,0,0,0,0,0,0,0,1833.794,29641.459,9933.559,8246.113,1699.052,956.009,847.741,351.786,4464.064,720.68,3537.45,2666.313,37.622,2000.847,0,2332.906,0,0,0,0,0,3817.656
11923,1,2,24295.24169,5378,960,11652.996,39760.023,564.847,55412.147,0,55412.147,0,0,0,0,0,0,1759.505,15407.423,2189.944,985.908,1175.916,1660.474,247.903,3157.983,319.06,4416.346,4662.032,594.502,81.723,0,103.443,0,228.084,0,0,0,2769.777
11924,1,2,41118.36817,4486,1592,4103,14000,76.218,7874.909,0,0,7874.909,0,0,0,0,1982.642,2447.179,0,811.275,0,0,559.858,0,0,0,2954.301,1427.635,106.71,0,0,0,0,920.51,0,0,0,2789.327
11925,4,8,12801.76803,4830,1332,3902.803,13316.362,258.613,23247.008,10589.674,12657.333,0,0,0,0,0,0,2607.559,0,2008.067,0,72.634,243.023,30.106,628.812,112.421,418.417,751.717,330.254,116.288,0,0,0,0,0,0,0,5997.064
11926,4,10,19726.24567,690,1521,4779.647,16308.156,198.422,20510.885,14503.581,3415.126,767.732,1824.447,0,0,0,0,0,0,2873.08,0,1006.094,109.694,206.422,0,260.42,4261.864,1111.197,73.134,0,0,0,0,0,0,0,0,6406.25
11927,4,10,14601.4164,2008,277,3247.516,11080.526,544.587,56059.859,11087.861,42082.136,2889.862,0,0,0,0,0,0,0,5164.435,0,0,234.709,0,0,224.089,2103.171,1498.44,322.961,0,0,0,0,294.675,0,0,0,1238.046
11928,3,5,14869.71537,1584,2555,16673.466,56889.867,0,0,0,0,0,0,0,0,0,8779.826,14223.819,9177.75,4319.682,0,1858.223,848.412,191.073,3071.267,759.556,6665.596,1944.375,154.2,713.025,0,1981.596,0,0,0,0,0,2201.468
11929,2,4,19471.28323,5403,1175,9744,33247,80.32,8141.57,7128.105,0,0,0,0,0,1013.465,14498.7,1784.882,0,3793.506,2436.888,536.431,233.5,54.264,571.919,225.796,5511.032,1494.562,84.822,0,0,0,0,0,0,0,0,2020.221
11930,2,3,13379.74185,6440,679,7270.465,24806.826,473.753,47316.268,19711.287,27604.981,0,0,0,0,0,0,2211.777,0,1903.254,0,814.802,139.973,193.143,1969.163,811.949,9975.207,2023.823,1228.446,111.314,0,211.895,0,0,0,0,0,3212.077
11931,3,6,15371.26209,3130,1942,9246.789,31550.045,0,0,0,0,0,0,0,0,0,11232.336,0,10235.631,921.226,1549.624,1400.086,167.27,0,0,0,535.035,3792.603,192.365,0,0,0,0,0,0,0,0,1523.869
11932,2,3,18409.38246,6407,698,12011.212,40982.254,848.116,84764.065,0,82483.578,0,2280.487,0,0,0,0,3284.33,16704.179,1634.969,0,881.489,101.785,220.266,0,0,6142.247,2663.318,2237.236,0,0,2314.671,1782.102,716.791,0,0,0,2298.872
11933,2,4,21398.78836,5476,1066,6407.277,21861.631,0,0,0,0,0,0,0,0,0,0,2245.183,9093.527,2375.756,0,0,235.927,160.333,1643.723,338.075,2609.509,892.762,440.299,102.381,0,581.97,0,0,0,0,0,1142.185
11934,2,3,24672.78182,5965,917,17443.457,59517.076,941.999,96189.44,30302.788,54175.731,2696.937,9013.983,0,0,0,13766.191,11865.194,0,1506,2495.832,0,244.524,412.325,0,0,8725.335,2333.545,3288.522,560.886,0,1522.669,0,0,0,0,0,12796.053
11935,4,10,8940.083663,4986,1147,18915.798,64540.702,0,0,0,0,0,0,0,0,0,24897.164,1610.512,28539.01,815.601,0,132.589,168.343,0,0,0,5435.421,824.714,309.771,0,0,0,0,0,0,0,0,1807.577
11936,4,10,16869.1981,2074,1989,24619.221,84000.783,495.483,50162.869,8557.156,36289.623,3914.274,1401.816,0,0,0,0,10684.912,0,2599.911,0,0,169.753,82.97,0,723.755,919.986,1019.563,607.066,528.172,0,157.307,0,0,0,0,0,66507.388
