Survey Year,Census Region,Census Division,Four Largest States,Type of Home  (Respondent answer),The Final Weight,Cool Deg-Days: Base65 01 TO 12-2005 (Inoculated),Heat Deg-Days: Base65 01 TO 12-2005 (Inoculated),Kilowatt Hours Of Electricity Used,Electric Annual Use In Thousands of BTU,CCFS (Hundred Cubic Feet) Of Natural Gas,Natural Gas Annual Use In Thousands Of BTU,Electric Space Heat Use (Estimated) in Thousands of BTU,Natural Gas Space Heat Use (Estimated) in Thousands of BTU,Electric Water Heat Use (Estimated) in Thousands of BTU,Natural Gas Water Heat Use (Estimated) in Thousands of BTU,Electric Appliance Use (Estimated) in Thousands of BTU,Natural Gas Appliance Use (Estimated) in Thousands of BTU,Electric AC Use (Estimated) in Thousands of BTU,Electric Refrigerator Use (Estimated) in Thousands of BTU,Electric Freezer Use (Estimated) in Thousands of BTU,Electric Cooking or Use (Estimated) in Thousands of BTU,Electric Dishwasher Use (Estimated) in Thousands of BTU,Electric Dryer Use (Estimated) in Thousands of BTU,Electric Light Use (Estimated) in Thousands of BTU 
1993,3,5,0,4,10181,1683,3631,12381,42243,392,40299,0,32516,13802,0,15680,7783,8326,4435,0,0,0,3203,3741
1993,1,1,0,2,4363,421,6958,13365,45601,0,0,21094,0,7595,0,14212,0,0,2700,0,1087,0,2472,2965
1993,2,4,0,1,15098,566,7923,7574,25842,1340,137752,0,91786,0,36895,15605,9071,4944,5293,0,0,0,2915,2301
1993,3,5,0,2,10958,1683,3340,4465,15234,985,101260,0,74838,0,26422,10472,0,917,3845,0,548,0,2213,1083
1993,3,5,0,1,4949,2636,2515,18002,61423,0,0,15848,0,8851,0,19308,0,9462,7954,0,2388,523,2557,4531
1993,1,2,1,2,3092,635,6982,6823,23280,0,0,0,0,0,0,18138,0,0,5142,0,0,513,0,5453
1993,2,3,0,2,19637,838,6207,2264,7725,2137,219664,427,196578,0,17535,5699,5551,0,1599,1374,0,0,768,723
1993,1,2,1,4,20211,542,7019,7118,24287,2155,221534,934,173623,0,47911,18191,0,2682,2480,2076,2478,0,2107,2308
1993,3,5,4,5,10027,3455,211,5086,17353,0,0,697,0,3194,0,5949,0,4883,2630,0,562,262,0,915
1993,2,3,0,5,5492,490,7817,3427,11693,525,54017,0,30726,0,23291,7943,0,977,2773,0,762,865,0,948
1993,2,3,0,5,6226,350,8344,6113,20858,269,27633,0,19708,0,7925,15082,0,0,5776,6152,1294,0,0,3256
1993,3,5,0,5,29326,1585,4358,3139,10709,580,59600,0,33417,0,21011,4332,5172,4873,1504,0,0,585,0,1090
1993,3,6,0,2,13039,1489,4152,25460,86870,0,0,29443,0,17250,0,30980,0,2168,7029,0,1657,546,7655,5338
1993,3,6,0,2,19428,1418,4209,25466,86890,0,0,32043,0,6568,0,21361,0,14280,12638,0,829,545,3345,6763
1993,1,2,1,2,11148,340,8489,16006,54612,0,0,0,0,0,0,46731,0,0,7881,3940,1696,3275,5245,5436
1993,2,4,0,2,12937,578,7442,31996,109170,0,0,0,0,30750,0,56665,0,10384,11371,4961,4750,3344,9236,9853
1993,4,9,2,2,4874,1591,2097,16738,57110,0,0,12623,0,0,0,30517,0,4808,9162,0,1305,497,3042,2601
1993,4,8,0,2,5866,3298,1304,8560,29207,1002,103006,1537,57330,0,31098,20052,14578,0,7618,6646,0,0,0,1993
1993,4,9,2,5,18597,804,912,8648,29507,0,0,3517,0,9482,0,12615,0,782,3111,0,3270,0,0,2136
1993,3,7,0,2,18632,2380,1868,16265,55496,577,59316,1608,35963,0,23353,31202,0,16733,5953,3479,1556,1442,4812,4251
1993,3,5,4,2,10436,2180,1561,7724,26354,302,31046,0,14827,0,16219,15332,0,8625,2397,0,921,350,2848,2773
1993,4,9,0,2,3905,232,4672,10301,35147,505,51914,0,51914,13951,0,17605,0,0,3591,0,1498,569,2782,5176
1993,1,2,1,4,14649,670,6936,4409,15044,552,56746,1032,32531,0,19416,9900,4799,1865,2247,0,0,0,0,2653
