Survey Year,Census Region,Census Division,Four Largest States,Type of Home  (Respondent answer),The Final Weight,Cool Deg-Days: Base65 01 TO 12-2005 (Inoculated),Heat Deg-Days: Base65 01 TO 12-2005 (Inoculated),Kilowatt Hours Of Electricity Used,Electric Annual Use In Thousands of BTU,CCFS (Hundred Cubic Feet) Of Natural Gas,Natural Gas Annual Use In Thousands Of BTU,Electric Space Heat Use (Estimated) in Thousands of BTU,Natural Gas Space Heat Use (Estimated) in Thousands of BTU,Electric Water Heat Use (Estimated) in Thousands of BTU,Natural Gas Water Heat Use (Estimated) in Thousands of BTU,Electric Appliance Use (Estimated) in Thousands of BTU,Natural Gas Appliance Use (Estimated) in Thousands of BTU,Electric AC Use (Estimated) in Thousands of BTU,Electric Refrigerator Use (Estimated) in Thousands of BTU,Electric Freezer Use (Estimated) in Thousands of BTU,Electric Cooking or Use (Estimated) in Thousands of BTU,Electric Dishwasher Use (Estimated) in Thousands of BTU,Electric Dryer Use (Estimated) in Thousands of BTU,Electric Light Use (Estimated) in Thousands of BTU 
1993,3,7,3,5,14230,2480,2803,6013,20516,0,0,3820,0,5981,0,5169,0,2846,2700,0,794,0,0,608
1993,3,5,0,2,9872,2673,2311,10421,35556,0,0,16454,0,3362,0,7639,0,2787,5314,0,1895,0,0,818
1993,1,2,1,2,3092,634,6991,9742,33238,0,0,0,0,8803,0,20676,0,0,3759,0,986,375,2300,6424
1993,1,1,0,2,10304,270,9511,1810,6176,0,0,0,0,0,0,5069,0,0,1107,793,328,0,1056,500
1993,1,2,0,3,3401,645,6205,12715,43384,0,0,17363,0,8179,0,12936,0,1685,3221,0,864,0,1964,1590
1993,4,8,0,5,4628,0,11062,3333,11370,351,36113,0,0,0,36113,9480,0,0,1890,0,990,0,0,3434
1993,2,4,0,2,19690,381,8883,7482,25529,1766,181545,0,145535,0,29354,20192,6656,2291,3046,4420,0,612,2992,2560
1993,3,5,0,2,11439,1668,3296,34881,119014,0,0,29292,0,10604,0,36600,0,23496,19022,10776,2719,1453,3654,6020
1993,3,5,0,1,13813,1205,4404,6470,22076,0,0,1302,0,3107,0,11839,0,1057,4771,4054,1545,0,2339,1014
1993,4,9,0,2,7168,80,5587,6650,22690,979,100641,0,60734,0,39907,21305,0,0,1385,0,2895,0,2979,1923
1993,3,5,0,4,18685,1693,4247,4145,14144,0,0,4912,0,3055,0,2236,0,2100,1841,0,439,0,0,297
1993,4,9,2,4,10406,733,1007,4643,15841,217,22337,5335,0,0,17050,7961,5287,0,2545,0,0,0,0,2859
1993,2,3,0,2,22924,955,5855,11951,40777,1100,113080,1171,79038,0,34042,24583,0,10855,4168,3939,2780,0,2641,6065
1993,1,1,0,3,3876,652,5881,5932,20240,0,0,7783,0,3567,0,6653,0,0,2237,0,474,312,1525,1075
1993,2,3,0,4,23786,806,6150,5335,18203,1777,182676,1065,120262,0,49567,12115,12847,1066,3957,0,0,0,0,2880
1993,3,5,4,2,23152,3476,388,20988,71611,0,0,14240,0,8853,0,24254,0,19335,4929,4127,2795,501,3068,2965
1993,3,7,0,1,16651,2450,1614,12941,44155,472,48522,0,27932,0,15429,15797,5161,23498,4860,0,0,0,0,6490
1993,4,8,0,2,6782,0,10028,7790,26579,1282,131790,0,76745,0,44783,24157,10262,0,2422,1929,0,1477,3718,4303
1993,4,9,0,2,19368,269,6779,4730,16138,0,0,0,0,0,0,4226,0,0,11912,0,0,0,0,788
1993,3,7,0,2,23286,2474,1939,10632,36276,675,69390,0,4703,0,49381,31354,15306,0,4922,13188,0,0,3273,5601
1993,3,6,0,2,4165,1972,3149,11688,39879,0,0,14879,0,5881,0,9465,0,4176,5478,2463,718,0,1633,532
1993,2,3,0,5,12605,735,6612,7318,24969,766,78745,697,65105,9458,0,13060,13640,0,1754,0,0,0,3594,2061
1993,4,8,0,4,9034,3226,1345,9568,32646,0,0,7516,0,6145,0,7918,0,6458,4609,0,2063,900,0,1171
1993,1,2,0,2,4678,964,5686,9292,31704,0,0,0,0,0,0,23938,0,0,7766,0,1455,678,3310,6618
1993,1,2,1,2,11962,1003,5295,3745,12778,8,822,722,0,0,0,7155,822,1238,3663,2357,0,0,0,1619
1993,2,3,0,2,20532,580,7089,18175,62013,0,0,28269,0,8904,0,19639,0,1499,3702,0,900,419,2570,4656
1993,3,7,0,2,9829,1808,4234,4931,16825,751,77203,0,49923,0,21747,6979,5533,5974,3872,0,0,359,0,3410
1993,1,2,0,2,15625,446,6879,7186,24519,1208,124182,0,88730,0,28737,15443,6715,3378,5698,0,2032,364,2229,2514
1993,2,4,0,2,14180,1081,5691,7772,26518,0,0,0,0,0,0,19487,0,3236,3795,4331,0,0,0,3635
1993,3,6,0,2,12534,1356,4260,6464,22055,0,0,0,0,7571,0,9665,0,0,4819,0,869,0,0,5092
1993,4,9,2,2,4523,823,887,4171,14231,334,34335,0,16713,0,12185,11529,5437,0,2702,0,0,502,0,2905
1993,3,5,0,2,3979,2022,3364,19077,65091,582,59830,0,59830,14216,0,33585,0,11104,6186,8327,2641,2079,3330,4443
1993,1,2,1,5,43781,1518,4595,4405,15028,139,14258,0,0,0,10715,8609,3543,3775,2644,0,0,456,0,2298
1993,4,9,2,5,20143,1776,1934,2367,8077,332,34080,871,13637,0,15002,4720,5441,859,1627,0,0,0,0,2302
1993,3,5,0,2,18164,1330,4850,11898,40596,0,0,0,0,12256,0,18222,0,6684,3434,0,0,0,3024,3265
1993,3,5,4,2,5009,3368,236,38323,130758,0,0,8790,0,13829,0,73489,0,20452,14198,10522,2511,826,4036,7048
1993,1,1,0,2,13499,872,5772,13948,47591,0,0,0,0,16026,0,26216,0,1523,3826,0,0,504,7068,3746
1993,3,5,0,2,21249,1694,3661,6119,20878,0,0,0,0,4992,0,11310,0,0,4576,0,1821,399,1948,1686
1993,3,7,3,5,16132,2365,2904,14008,47795,0,0,8629,0,6152,0,15988,0,9231,7795,0,988,650,3175,741
1993,3,7,0,2,18593,1654,4480,9038,30838,1138,116986,0,88235,0,28751,16989,0,7917,5932,3776,815,925,1854,2963
1993,1,2,0,2,21099,1218,4803,23149,78984,0,0,25897,0,12342,0,26049,0,9061,5635,0,1206,562,2742,5535
1993,1,2,1,4,22094,838,6069,3292,11232,486,49936,0,40700,0,9236,6913,0,1344,2975,0,489,0,1573,1034
1993,2,3,0,2,19952,627,6930,2855,9741,1397,143612,0,114547,0,23696,8575,5369,0,1166,0,0,550,1383,1949
1993,3,6,0,1,4229,1504,3882,22310,76122,0,0,24683,0,13124,0,22298,0,9584,6433,0,1531,0,3482,6365
1993,2,4,0,2,3845,1134,5542,5081,17336,0,0,0,0,4426,0,9102,0,1640,2168,2019,1007,0,1078,1807
1993,3,5,0,2,20749,1400,4426,11870,40500,0,0,1070,0,5886,0,19097,0,2673,11774,6626,846,0,1923,3334
1993,3,5,4,2,4998,2395,1446,14332,48901,0,0,9268,0,8636,0,17429,0,10251,3317,0,2499,0,2742,3529
1993,1,2,0,3,9124,732,6463,5825,19875,578,59418,0,42921,0,16497,13133,0,4336,2406,1523,490,787,1577,3030
1993,4,9,0,2,6792,84,5165,8078,27562,0,0,15438,0,2958,0,7416,0,441,1309,0,661,308,1504,1311
1993,1,2,1,2,17925,681,6830,10347,35304,1371,140939,0,98256,0,42683,31240,0,0,4064,0,2892,1093,2748,6518
1993,4,9,2,2,25347,367,2560,6366,21721,534,54895,1153,27223,0,25567,18481,2105,0,2087,1801,1441,1034,0,4201
1993,4,8,0,2,7239,425,6330,5331,18189,1447,148752,0,102050,0,37956,13066,8746,0,5123,0,0,456,2227,3665
1993,3,5,0,3,4298,1324,4867,14150,48280,0,0,18304,0,5785,0,13919,0,7276,2996,5802,518,342,1666,1719
1993,4,9,2,2,21095,1319,1977,2319,7912,347,35672,0,23003,0,8834,5505,3835,0,2407,0,0,270,0,664
1993,3,6,0,2,9649,1558,4466,7635,26051,1491,153275,0,121065,0,25700,11086,6510,6151,8814,3612,0,0,0,1026
1993,3,6,0,2,13851,1569,3794,12738,43462,0,0,4420,0,7556,0,22771,0,0,8715,3630,989,460,2824,5170
1993,3,5,4,2,27230,3430,418,19346,66009,0,0,7949,0,6175,0,21684,0,19120,11081,0,1132,1285,3231,5860
1993,3,5,0,2,5318,1469,3125,10935,37310,1128,115958,0,78285,0,37673,22269,0,12139,2902,0,1210,2337,3743,5017
1993,3,7,3,2,19645,2496,2718,7386,25200,660,67824,0,47496,0,20328,10980,0,9643,4577,0,892,339,1656,2711
1993,4,9,0,5,11971,121,4707,7295,24891,0,0,7339,0,8496,0,5743,0,0,3313,0,951,0,0,1453
1993,3,5,0,5,7546,2189,3105,5773,19697,821,84399,0,35644,0,37901,8419,10854,8431,2847,0,0,0,0,2994
1993,4,9,2,5,19327,1324,1050,4078,13916,167,17159,2541,0,0,17159,6894,0,2667,1814,0,1250,1391,0,1518
1993,1,2,0,2,12622,858,6106,6035,20591,318,32690,0,0,0,25721,9503,6969,7046,4042,0,0,0,0,3350
1993,2,3,0,2,26021,368,8097,15681,53504,766,78745,0,64104,0,14641,38797,0,3720,10987,0,5554,0,7464,5649
1993,2,3,0,2,19952,904,6185,14703,50167,1577,162116,2093,118337,0,38589,36672,5190,5810,5592,0,5556,0,0,5853
1993,3,5,4,1,9662,3395,405,9018,30769,0,0,0,0,8724,0,19158,0,0,2887,0,0,0,2225,2993
1993,2,3,0,2,24904,1091,5656,6961,23751,1291,132715,0,114125,0,13687,11908,4903,7316,4527,2995,0,0,0,1727
1993,1,2,1,2,3804,685,6789,3152,10755,765,78642,0,55319,0,18259,9047,5064,0,1708,0,0,322,0,2915
1993,2,4,0,2,16528,1130,5661,9240,31527,900,92520,0,65305,0,22968,17743,4247,9343,4441,0,2510,0,0,4148
1993,1,2,1,5,13670,1200,4818,7187,24520,58,5991,0,0,0,0,15960,5991,1765,6795,2343,0,0,0,3636
1993,3,6,0,2,6937,1793,3059,4228,14426,975,100230,0,48627,0,40569,8491,11034,4425,1510,1696,0,0,0,1592
1993,3,5,0,2,14812,1836,3469,7842,26757,550,56540,0,37556,0,14686,13311,4298,6960,6486,0,0,0,0,2808
1993,3,7,3,5,12428,2800,2523,5253,17923,0,0,3052,0,2867,0,3889,0,4483,3632,0,460,303,0,1384
1993,4,9,0,2,12735,81,5577,21488,73317,0,0,24952,0,16728,0,26101,0,0,5536,0,3555,2798,3378,3737
1993,2,4,0,5,14196,1224,5372,7219,24632,0,0,7663,0,7018,0,5105,0,2174,2672,0,697,459,0,1030
1993,1,1,0,2,8111,698,5794,19348,66015,0,0,36808,0,6823,0,12027,0,5458,4899,0,1958,1046,0,2532
1993,4,8,0,2,11445,33,9479,8987,30663,0,0,0,0,12645,0,16050,0,0,1968,2851,1146,0,2127,2047
1993,4,8,0,2,6514,3878,952,8672,29589,565,58082,1751,19188,0,19263,20929,19631,0,6909,0,0,0,0,10049
1993,2,4,0,5,12879,1226,5366,14160,48314,0,0,13361,0,10951,0,16210,0,5410,2382,0,1179,549,3365,1736
1993,3,5,0,2,8956,2049,2459,20382,69543,0,0,13316,0,12941,0,24808,0,10692,7786,4642,3424,1493,0,2219
1993,4,8,0,2,14125,4554,826,22646,77268,0,0,11348,0,12394,0,19098,0,23971,10457,0,3835,532,0,3269
1993,2,4,0,2,19690,895,6150,10361,35352,2348,241374,0,203284,0,38090,26445,0,4239,4668,0,1071,2533,3059,4424
1993,3,5,0,2,3979,1664,3494,13630,46506,913,93856,0,50833,0,43023,32816,0,8791,4899,3787,4101,519,2535,2505
1993,2,4,0,4,6599,1119,5690,9124,31132,1157,118990,0,75465,0,34222,22553,9303,0,8579,0,0,0,0,3829
1993,2,4,0,2,5080,1711,4680,4533,15467,636,65381,714,49125,0,13006,5342,3250,6645,2766,0,0,0,1283,829
1993,1,1,0,2,11187,907,5610,14214,48498,0,0,0,0,0,0,43263,0,1154,4081,3033,1307,431,2640,3113
1993,3,6,0,2,17137,1462,4173,24897,84949,0,0,27180,0,8298,0,20438,0,18828,10205,2891,951,443,2718,4105
1993,2,4,0,2,4710,461,8106,8141,27777,1475,151630,0,99664,0,39997,20693,11969,4434,2650,3104,0,1189,0,3741
1993,3,7,0,5,9204,2003,3803,2171,7407,433,44512,0,23015,0,15820,4485,5677,1032,1890,1836,0,0,0,465
1993,3,5,0,2,14276,789,5180,7606,25952,0,0,5350,0,7506,0,9385,0,763,2948,0,1197,0,0,1933
1993,4,9,2,2,10195,1329,1159,10482,35765,885,90978,0,0,0,65541,14585,25437,0,21180,0,0,0,0,3399
1993,3,7,0,2,18593,1706,4248,25667,87576,1765,181442,2145,136871,0,44571,40147,0,32639,12645,6266,2076,1923,4839,7339
1993,3,7,3,2,19686,3261,1012,19603,66885,527,54176,0,34387,0,15472,27268,4317,27055,12562,5193,0,1559,3124,5912
1993,3,5,0,2,5318,1846,4360,32876,112173,0,0,23900,0,16903,0,50172,0,16887,4311,9289,3312,459,6440,5593
1993,2,4,0,2,16381,467,8222,5678,19373,1146,117809,818,98648,0,16808,15128,2353,1488,1939,2447,1372,733,0,4660
1993,4,9,0,3,20434,79,5750,21032,71763,0,0,33782,0,4318,0,23690,0,1703,8270,4299,2051,636,3105,5331
1993,2,3,0,2,19952,1031,5753,14083,48051,1220,125416,0,92085,0,29016,28414,4315,9551,10086,3844,1428,0,0,5059
1993,2,3,0,2,11048,683,6609,3423,11679,1032,106090,0,72564,0,26818,8642,6708,0,3037,0,0,0,0,4195
1993,1,1,0,3,11691,532,5744,5959,20332,0,0,0,0,0,0,15340,0,0,4992,4491,818,0,2632,1473
1993,3,5,0,2,13625,1138,4455,16800,57322,0,0,0,0,17025,0,30824,0,0,9473,0,3270,0,4758,6513
1993,3,5,0,2,22033,1018,4738,2301,7851,0,0,0,0,0,0,4044,0,1058,2749,0,0,0,0,665
1993,3,6,0,2,4229,1168,4821,12909,44046,0,0,21882,0,4057,0,11495,0,1814,4798,0,1993,0,2134,2171
1993,2,3,0,2,4989,407,8162,10578,36092,908,93342,0,62280,0,31062,31350,0,2465,2277,3255,3341,463,3766,5485
1993,3,5,0,2,17442,1660,3312,14699,50153,0,0,0,0,13761,0,19600,0,13034,3758,0,1725,0,0,5796
1993,2,3,0,2,19952,828,6611,5959,20332,1040,106912,0,80645,0,25636,14907,631,3238,2187,2456,1037,395,0,1922
1993,4,9,0,2,14557,76,5130,15769,53804,650,66820,2858,66820,11636,0,27237,0,0,12073,0,1595,1052,5133,6617
1993,3,7,3,2,9417,1673,3920,11164,38091,1633,167854,0,102685,0,51087,23579,14082,8101,6411,0,0,1896,5237,4546
1993,3,7,0,2,39633,1640,4716,8340,28456,820,84250,1870,56669,0,21974,14024,5607,6195,6367,0,0,0,3358,4278
1993,1,2,1,5,13670,1150,4853,2564,8748,0,0,0,0,0,0,6500,0,0,2248,0,0,0,0,1464
1993,3,5,0,2,23637,798,5164,13629,46502,0,0,0,0,10335,0,25699,0,0,10468,4190,1134,0,2577,3065
1993,2,4,0,3,3298,1185,5493,13618,46465,0,0,20157,0,4601,0,12754,0,5178,3775,0,1022,476,2324,2652
1993,4,9,0,2,12293,87,5129,8544,29152,998,102594,0,102594,12425,0,14539,0,0,2188,0,2504,0,1547,2224
1993,3,7,0,2,9242,2254,2130,10650,36338,365,37522,0,20428,0,13363,10979,3731,15409,9950,0,0,0,0,4366
1993,2,3,0,2,27451,1199,5544,14702,50164,822,84527,0,84527,7830,0,21323,0,4639,16372,4691,1087,0,3495,5845
1993,1,1,0,2,7554,907,5606,11669,39815,276,28373,0,0,0,21159,24640,7214,9678,5497,0,0,2944,0,7983
1993,4,8,0,3,12332,359,6390,2837,9680,1431,147107,800,113907,0,25798,5789,7402,1651,1440,0,447,295,0,1684
1993,3,5,4,1,5009,2655,1399,12041,41084,0,0,7528,0,5301,0,12645,0,12992,2618,0,750,0,1707,835
1993,4,9,2,5,21181,290,1245,6786,23154,0,0,5980,0,2091,0,9018,0,789,5276,0,612,404,1971,1334
1993,1,1,0,2,10037,390,7193,10286,35096,0,0,0,0,0,0,24577,0,5996,4523,2547,952,362,2942,3906
1993,4,9,2,2,20337,205,5764,17528,59806,0,0,6025,0,17376,0,32188,0,0,4217,3625,4050,1530,3066,4691
1993,1,2,0,2,19899,1072,5189,4452,15190,965,99202,0,57412,0,33203,7127,8587,4304,3759,0,0,0,0,1465
1993,1,2,0,5,25461,1563,4412,2080,7096,372,38217,0,14801,0,18679,2700,4737,2296,2100,0,0,0,0,1006
1993,3,5,0,2,4778,2430,2720,8924,30449,984,101155,1009,68371,0,26223,14137,6561,12613,2690,0,0,904,2275,2410
1993,2,3,0,2,27451,1215,5527,14947,50999,2467,253608,0,235397,0,18211,36953,0,4430,9616,9090,3163,0,4786,6316
1993,1,1,0,2,12645,854,6112,8636,29466,1157,118940,0,87477,0,24713,19228,6750,7402,2836,0,0,731,0,5371
1993,2,3,0,5,23323,745,6526,1602,5466,809,83192,0,51917,0,25267,2561,6008,0,2905,0,0,0,0,631
1993,3,5,0,3,11870,2097,2652,2747,9374,529,54404,0,32569,0,21835,5889,0,0,3485,0,1113,0,0,806
1993,3,5,4,2,7067,3192,548,11425,38982,0,0,4608,0,6632,0,13701,0,7318,6723,0,1102,363,2224,1414
1993,3,5,0,2,22708,835,5758,9221,31462,1701,174863,0,145837,0,23307,13698,5719,14550,3214,0,0,535,2614,3368
1993,2,3,0,5,25192,727,6625,7391,25218,317,32588,0,32588,7549,0,12882,0,1878,2909,0,681,1610,1944,2716
1993,4,9,2,5,6732,1365,2576,10396,35472,0,0,4477,0,10403,0,14340,0,3411,2841,0,3478,0,0,1391
1993,1,1,0,5,7822,898,6051,3360,11464,218,22378,6100,0,0,22378,3355,0,0,2009,0,919,0,0,935
1993,1,2,1,2,17925,642,7232,12281,41903,1580,162424,1375,121574,0,32823,26199,8027,9743,4586,2903,0,1232,3102,5796
1993,1,2,0,2,21099,1709,4201,16964,57881,0,0,0,0,0,0,35877,0,17147,4857,0,3607,1927,3860,5371
1993,3,5,0,2,18212,1664,3746,17532,59819,753,77408,0,77408,15390,0,31593,0,9408,3428,3611,3233,0,7028,1994
1993,3,6,0,2,12016,1178,4745,7481,25527,0,0,0,0,5058,0,7858,0,8109,4502,0,1169,0,0,1073
1993,4,8,0,2,13292,421,6476,8063,27511,980,100744,0,63091,0,37653,23388,0,1245,2878,0,1438,0,3443,3143
1993,3,7,3,2,17851,2894,1598,6729,22959,511,52531,1433,21124,0,23983,10311,7424,6778,4437,0,0,0,0,3479
1993,4,9,2,2,4874,1641,2069,6204,21168,0,0,6906,0,2375,0,6526,0,3697,1664,0,837,183,896,1738
1993,4,9,2,5,16678,1442,1051,5655,19294,345,35462,3279,0,0,35462,8716,0,5641,1658,0,851,1423,0,1942
1993,3,5,4,2,19505,2378,1543,9936,33900,0,0,0,0,9645,0,14289,0,5694,4272,0,1420,0,0,2070
1993,3,5,4,2,19627,3368,421,12384,42254,0,0,4873,0,7033,0,21372,0,4992,3984,4649,2568,970,1943,3228
1993,3,5,0,5,9563,1721,3593,4114,14037,803,82548,0,54412,0,28136,6983,0,4188,2866,0,962,0,0,1226
1993,2,4,0,3,3298,1103,5747,20505,69962,0,0,23581,0,14664,0,23654,0,2620,5443,0,3531,2780,3355,3187
1993,1,1,0,5,4503,774,6177,2755,9400,612,62945,0,38698,0,19548,6373,4699,0,3027,0,0,0,0,1832
1993,4,8,0,4,15192,0,10349,6963,23758,1235,126991,0,98192,0,28799,20868,0,0,2890,2233,2368,0,3446,2162
1993,3,7,3,2,9760,2297,2313,7370,25146,622,63942,0,52330,0,8386,10883,3226,8542,5721,0,0,0,0,4952
1993,2,3,0,3,10365,816,6272,5761,19657,1322,135902,0,107241,0,28661,13798,0,3719,2140,0,1624,0,4076,2201
1993,4,9,2,2,18863,668,2486,3969,13542,424,43587,0,23901,0,19686,10427,0,0,3115,0,849,787,1978,1150
1993,4,8,0,2,4378,416,6145,28755,98112,0,0,31665,0,26713,0,33166,0,3169,3399,3033,2636,0,5763,3998
1993,3,5,0,3,18283,1361,4451,8784,29971,1002,103006,907,94066,7422,0,10381,8940,7784,3477,0,0,813,1629,1704
1993,2,4,0,5,8214,575,7554,6811,23239,693,71240,0,28716,0,33984,15205,8540,3289,4745,0,0,0,0,3340
1993,4,9,2,5,15395,1727,2021,5922,20206,193,19840,0,8516,0,11324,13068,0,4049,3089,0,1069,498,0,2890
1993,1,2,0,2,15781,794,6323,4112,14030,0,0,0,0,3078,0,7145,0,920,2887,0,663,309,0,1345
1993,3,6,0,2,7610,2091,2971,17417,59427,0,0,1860,0,14179,0,26497,0,8659,8232,0,1470,0,9597,5655
1993,1,2,0,2,10405,928,5904,18287,62394,0,0,0,0,17236,0,33594,0,5732,5832,3598,4056,1370,3448,2729
1993,3,6,0,2,15558,1931,3162,4566,15579,684,70315,0,56584,0,13731,11352,0,1043,3184,2965,1168,0,1767,1949
1993,4,9,0,5,5970,88,4955,7812,26655,0,0,3886,0,10660,0,9267,0,0,2842,1374,1023,734,0,1154
1993,1,1,0,2,10037,351,7483,4732,16146,0,0,0,0,0,0,12642,0,0,3504,0,0,0,1971,1982
1993,2,3,0,4,23420,529,7261,4202,14336,2016,207296,0,153094,0,54202,10228,0,1686,2422,0,1924,0,0,2859
1993,1,2,0,3,29384,922,5901,5154,17585,972,99922,0,81690,0,18232,10151,0,830,6604,0,751,349,1707,2074
1993,4,9,2,3,30425,291,4988,4110,14023,414,42559,0,23806,0,14676,8601,4077,1373,4049,0,0,371,0,1624
1993,4,9,2,2,21095,1329,874,9377,31994,550,56540,0,32310,0,24230,24120,0,0,7874,0,1259,415,3372,5202
1993,3,5,0,2,20021,1653,3327,8133,27749,0,0,1109,0,8041,0,11736,0,2874,3989,0,1072,0,2499,1224
1993,2,3,0,5,28796,622,6897,2632,8980,244,25083,0,15569,0,9514,5261,0,1597,2122,0,821,0,0,1389
1993,3,5,0,4,28255,1612,4331,17884,61020,0,0,20539,0,11933,0,15734,0,8842,3972,0,1413,466,2272,3480
1993,4,8,0,3,10481,0,10408,5900,20131,648,66614,1297,47925,0,18689,16439,0,0,2395,0,1254,477,2923,2448
1993,4,9,2,2,4332,198,5807,15498,52880,0,0,0,0,17070,0,31604,0,0,4206,2809,3492,1319,2643,1818
1993,2,4,0,2,12937,584,7160,10246,34959,0,0,0,0,11958,0,17473,0,2510,3018,0,1156,0,2769,3402
1993,3,5,4,4,25022,4328,73,4473,15262,0,0,0,0,2876,0,4571,0,6100,1715,0,463,0,0,2583
1993,1,2,1,2,10853,895,5392,6380,21769,0,0,1201,0,0,0,13524,0,2860,4184,0,947,0,2707,3321
1993,4,9,0,2,7168,81,5559,13502,46069,603,61988,0,61988,11925,0,30451,0,0,3693,3150,2852,1244,2492,2532
1993,4,9,2,5,6369,1533,1337,3042,10378,0,0,0,0,0,0,5850,0,819,3709,1545,428,199,0,1308
1993,1,2,1,2,9672,635,6984,8537,29128,0,0,3077,0,6788,0,13247,0,655,5361,0,688,320,1566,3354
1993,4,9,2,5,23931,1389,2537,2247,7668,610,62745,0,28794,0,26615,2845,7336,1969,2854,0,0,0,0,643
1993,3,5,0,2,18212,1725,3590,14146,48266,631,64867,0,37973,0,21452,27570,5442,12701,7995,4120,0,1398,4667,5952
1993,4,9,2,2,21335,596,1191,8145,27790,356,36564,0,17747,0,13648,15005,5169,0,12785,0,0,0,0,5837
1993,2,3,0,2,23530,963,5791,4373,14921,0,0,9690,0,807,0,2612,0,1160,652,0,379,0,573,393
1993,2,4,0,2,8091,1144,5620,9055,30896,1237,127164,0,85341,0,33099,25172,8724,1414,4310,0,0,0,3622,2327
1993,4,8,0,2,11445,593,5725,10964,37409,0,0,0,0,11714,0,22241,0,0,3454,0,3285,0,3703,4421
1993,3,6,0,2,17336,1531,3541,26945,91936,0,0,1909,0,19854,0,44187,0,19650,6336,7803,1848,703,4306,5996
1993,4,9,2,2,6142,1154,1681,15118,51583,1193,122640,0,33243,0,34305,34250,55092,6132,11201,0,0,392,0,3322
1993,3,7,0,2,10474,2696,1991,8132,27746,561,57671,0,31669,0,20326,10429,5676,12371,4946,0,0,0,0,4528
1993,2,4,0,5,12879,1192,5472,6252,21332,0,0,5928,0,5608,0,4706,0,3454,1636,0,603,281,0,1100
1993,1,2,1,5,20564,877,5648,3430,11703,352,36162,0,23495,0,12667,7903,0,0,3800,0,606,0,1949,1038
1993,4,8,0,2,3202,1923,2593,5153,17582,399,41017,0,22052,0,14819,10451,4146,0,7131,0,0,446,2178,1229
1993,1,2,1,4,24189,1250,4792,2288,7808,1187,121993,0,61953,0,47649,5589,12391,0,2219,0,0,0,0,1128
1993,3,5,0,2,19943,1897,3070,12164,41504,702,72135,0,42306,0,23729,19224,6100,17432,4848,0,2736,1034,2600,3090
1993,4,9,0,2,17961,142,7931,26000,88712,0,0,50816,0,9432,0,24167,0,913,3384,8016,2553,560,2733,2684
1993,2,3,0,1,19952,815,6634,7260,24771,719,73913,0,47615,0,21034,13954,5264,7849,2968,2486,0,0,1949,3221
1993,1,2,0,2,15625,997,5574,3888,13266,901,92623,0,69207,0,18540,9857,4876,0,3409,1954,0,274,1339,1058
1993,3,7,3,2,19747,2284,2268,18504,63136,0,0,20568,0,0,0,34361,0,3088,5119,5452,0,1329,3345,3607
1993,3,7,0,2,9242,2267,2125,5757,19643,1227,126136,0,58348,0,52392,11456,15396,3895,4292,2868,0,0,0,3370
1993,4,9,2,4,24340,2034,773,2610,8905,390,40125,0,18998,0,21127,7145,0,0,1760,0,615,0,1400,2005
1993,3,5,4,3,18689,3290,464,7270,24805,0,0,5110,0,4305,0,4991,0,7480,2919,0,788,0,0,1237
1993,3,5,0,2,8956,1850,2506,16834,57438,0,0,15908,0,11267,0,19869,0,7094,3300,0,3586,0,0,3349
1993,2,3,0,2,23952,879,6216,7548,25754,1370,140836,0,111299,0,20063,13139,9474,5423,7192,2047,0,0,0,3487
1993,3,5,0,5,16482,1281,4844,12028,41040,0,0,12653,0,7289,0,12989,0,3806,4303,0,1147,1301,2607,1427
1993,1,2,0,5,27778,898,5692,3729,12723,660,67848,0,25998,0,32900,8465,8950,1225,3033,0,0,0,0,2782
1993,1,1,0,4,9415,473,7858,7282,24846,0,0,11732,0,2596,0,9232,0,0,1286,0,525,0,2119,2396
1993,3,5,0,2,4973,828,5795,18665,63685,1378,141658,0,103279,0,29291,40121,9088,11943,11621,5315,0,756,4632,3660
1993,1,1,0,2,12682,653,5879,6530,22280,0,0,0,0,7778,0,10753,0,0,3749,0,667,0,2144,3355
1993,4,9,2,2,17755,686,980,5117,17459,260,26728,0,19664,2181,0,13203,7064,0,2075,0,0,0,2189,2963
1993,1,1,0,4,15397,568,6833,2660,9076,537,55204,660,40736,0,11553,6713,2915,0,1703,0,0,592,0,2461
1993,1,2,0,2,12622,589,6575,33783,115268,0,0,33446,0,27316,0,40030,0,8873,5603,0,2426,3067,3704,11275
1993,4,8,0,5,11882,1929,2796,2616,8924,251,25840,0,11768,0,11090,4351,2982,2052,2521,0,0,0,0,2183
1993,4,8,0,2,11550,67,8436,11978,40869,732,75250,1529,57862,0,17323,33785,65,2063,3492,2698,1708,1371,4573,8494
1993,3,7,3,2,21002,1361,4075,16744,57131,890,91492,18967,0,0,72389,25198,19103,4600,8366,3108,850,396,2427,4645
1993,3,5,0,2,4778,1853,2956,8927,30461,262,26909,9244,0,0,26909,13375,0,4250,3592,0,2055,285,1747,1333
1993,4,8,0,2,12032,39,8835,30802,105096,0,0,37448,0,26083,0,38066,0,0,3499,2541,3543,2788,7703,3739
1993,3,7,0,2,20537,1769,4334,16777,57243,1274,130967,0,106272,0,19479,19595,5216,13281,24367,0,0,0,5195,4580
1993,2,4,0,1,7532,332,8163,6398,21830,0,0,0,0,0,0,16917,0,2452,2461,1902,0,0,4894,2599
