Unique identifier for each respondent,Census Region,Census Division,Reportable states and groups of states,Type of housing unit,Final sample weight,"Heating degree days in 2009, base temperature 65F","Cooling degree days in 2009, base temperature 65F","Total Site Electricity usage, in kilowatt-hours, 2009","Total Site Electricity usage, in thousand BTU, 2009","Total Natural Gas usage, in hundred cubic feet, 2009","Total Natural Gas usage, in thousand BTU, 2009","Electricity usage for other purposes (all end-uses except SPH, COL, WTH, and RFG), in thousand BTU, 2009","Electricity usage for refrigerators, in thousand BTU, 2009","Electricity usage for air-conditioning, central and window/wall (room), in thousand BTU, 2009","Electricity usage for water heating, in thousand BTU, 2009","Electricity usage for space heating, in thousand BTU, 2009","Natural Gas usage for other purposes (all end-uses except SPH and WTH), in thousand BTU, 2009","Natural Gas usage for water heating, in thousand BTU, 2009","Natural Gas usage for space heating, in thousand BTU, 2009"
70,3,7,20,2,15075.45,3407,1772,16186,55227,685,70213,41652.03,3902.12,9672.85,0,0,0,21474.1,48738.91
71,4,9,24,2,16368.08,827,4851,6618,22581,0,0,8309.22,2968.5,4409.73,3600.53,3293.03,0,0,0
72,1,2,3,5,10024.98,4589,930,4230,14433,62,6355,3238.34,2258.41,483.29,0,8452.97,6355,0,0
73,3,7,20,2,30067.83,2803,1929,9728,33192,454,46535,22269.04,2056.72,8866.23,0,0,0,12727.52,33807.48
74,1,2,3,5,9815.47,4796,865,2058,7022,764,78310,5285.95,1350.67,385.39,0,0,3102.34,11060.54,64147.13
75,3,5,15,2,6506.7,3131,1674,27067,92353,449,46023,62434.84,9283.34,19069.04,0,1565.78,0,18798.33,27224.68
76,2,3,7,2,15220.06,6185,665,11226,38303,1202,123205,23957,4242.47,2478.45,7625.08,0,0,17092.39,106112.61
77,1,2,3,1,8260.04,6571,371,4475,15269,0,0,7409.48,2492.31,420,4947.22,0,0,0,0
78,1,1,2,4,4646.98,5928,630,3223,10997,1265,129663,9010.33,1986.68,0,0,0,13655.77,30400.13,85607.1
79,2,3,8,2,20603.47,5852,657,6842,23345,1033,105883,18662.49,2316.55,2365.96,0,0,4750.35,18786.72,82345.93
80,1,2,3,5,10207.48,6576,441,2729,9311,550,56375,4543.26,3529.41,1238.33,0,0,3909.44,10453.55,42012.01
81,3,5,17,5,6583.36,125,4865,3303,11270,86,8815,4336.11,2310.39,3415.44,0,1208.07,0,8815,0
82,1,1,2,4,4739.7,5688,582,7376,25167,79,8098,8839.43,4625.77,0,11701.8,0,8098,0,0
83,2,3,6,5,22756.57,5511,791,1525,5203,636,65190,3613.17,1589.83,0,0,0,0,11244.93,53945.07
