Unique identifier for each respondent,Census Region,Census Division,Reportable states and groups of states,Type of housing unit,Final sample weight,"Heating degree days in 2009, base temperature 65F","Cooling degree days in 2009, base temperature 65F","Total Site Electricity usage, in kilowatt-hours, 2009","Total Site Electricity usage, in thousand BTU, 2009","Total Natural Gas usage, in hundred cubic feet, 2009","Total Natural Gas usage, in thousand BTU, 2009","Electricity usage for other purposes (all end-uses except SPH, COL, WTH, and RFG), in thousand BTU, 2009","Electricity usage for refrigerators, in thousand BTU, 2009","Electricity usage for air-conditioning, central and window/wall (room), in thousand BTU, 2009","Electricity usage for water heating, in thousand BTU, 2009","Electricity usage for space heating, in thousand BTU, 2009","Natural Gas usage for other purposes (all end-uses except SPH and WTH), in thousand BTU, 2009","Natural Gas usage for water heating, in thousand BTU, 2009","Natural Gas usage for space heating, in thousand BTU, 2009"
6567,1,2,3,5,9909.89,4755,878,5283,18026,119,12198,11327.32,4225.11,2473.58,0,0,0,12198,0
6568,3,5,14,2,14209.28,4724,1162,18143,61904,838,85895,41603.92,9774.47,3581.34,0,6944.27,9292.56,24591.27,52011.18
6569,1,2,3,5,10207.48,6683,417,1510,5152,604,61910,3109.4,2042.6,0,0,0,0,9558.12,52351.88
6570,1,1,2,2,4133.56,6321,449,9584,32701,0,0,25436.85,4328.79,700.58,0,2234.78,0,0,0
6571,1,2,3,4,7553.73,4608,924,5606,19128,1787,183168,13295.48,4231.02,1601.5,0,0,16319.95,51825.77,115022.29
6572,3,7,20,2,13331.55,1418,2912,21237,72461,0,0,35005.58,3150.34,17250.95,9886.99,7167.15,0,0,0
6573,1,2,3,5,8045.53,5525,641,14188,48409,0,0,20919.41,2821.43,2082.83,11969.77,10615.55,0,0,0
6574,4,10,26,2,7264.47,1213,1306,9268,31622,53,5433,23341.87,5742.38,1828.33,0,709.42,0,2453.8,2979.2
6575,1,1,1,4,6356.48,5862,541,3889,13269,1245,127613,9317.38,2062.71,0,0,1888.91,16823.3,29815.54,80974.16
6576,3,7,21,4,7200.77,2762,2272,9455,32260,409,41923,16839.79,2660.78,4694.93,8064.51,0,0,0,41923
6577,4,8,23,2,14634.75,5847,776,5868,20022,231,23678,10216.25,3167.11,0,6638.64,0,1559.1,0,22118.9
6578,4,10,26,2,7264.47,1179,1275,9608,32782,326,33415,23102.61,9679.39,0,0,0,2871.95,13607.92,16935.13
6579,4,10,26,3,6816.36,3801,39,2600,8871,489,50123,5653.81,2542.93,0,0,674.26,1879.18,9396.11,38847.71
6580,1,2,5,2,17619.2,5133,831,8975,30623,1253,128433,18084.32,3987.7,6665.81,0,1885.16,12809.56,23704.53,91918.91
6581,4,9,25,2,10344.9,4266,1158,6390,21803,655,67138,17303.51,2835.86,1663.63,0,0,8744.59,20494.74,37898.67
6582,1,2,3,4,9121.98,7479,361,13328,45475,360,36900,39083.45,4882.22,1509.33,0,0,0,11633.9,25266.1
6583,2,4,12,2,2993.34,4946,925,19092,65142,0,0,42136.4,6261.4,16744.55,0,0,0,0,0
6584,3,6,19,2,8620.52,3362,1617,11663,39794,1088,111520,27097.08,3190.57,9506.36,0,0,0,38323.93,73196.07
6585,3,6,19,2,10063.59,3191,1801,20224,69004,813,83333,42197.59,5962.01,20844.4,0,0,0,22460.85,60872.15
6586,2,3,8,2,10845.19,6182,583,20451,69779,1293,132533,58255.33,6541.69,4981.99,0,0,33178.61,35182.43,64171.96
6587,2,3,8,2,15376.08,6259,551,6527,22270,372,38131,12562.98,2789.1,609.06,4841.48,1467.38,2938.68,0,35191.82
6588,4,10,26,3,5717.72,2090,734,5677,19370,258,26445,12603.34,5992.49,774.17,0,0,5499.11,8775.78,12170.11
6589,2,4,12,2,2935.68,5322,908,15519,52951,1806,185115,32195.32,7319.39,13436.29,0,0,7757.18,42832.38,134525.44
6590,1,2,3,5,14994.73,5993,662,2203,7517,695,71238,5170.22,1744.27,602.51,0,0,3767.71,10074.55,57395.74
6591,2,4,11,2,4634.22,6789,649,12943,44162,738,75645,29655.31,5331.64,9175.05,0,0,0,21663.08,53981.92
6592,4,10,26,4,7251.15,1997,3312,9452,32250,0,0,13521.83,4030.95,14697.22,0,0,0,0,0
6593,4,10,26,2,7264.47,1154,1299,6064,20691,528,54120,18597.15,2093.56,0,0,0,3909.74,21588.17,28622.6
6594,3,7,21,2,9828.09,1264,3089,9883,33721,417,42743,14425.96,3313.5,15484.38,0,497.16,6292.86,14457.51,21992.63
6595,2,3,9,2,7960.93,7399,400,14895,50822,1320,135300,37066.4,8899.34,2460.31,0,2395.95,17160.4,27763.44,90376.16
6596,2,3,6,2,20576.97,7311,341,7642,26075,1085,111213,20908.66,4132.71,1033.63,0,0,0,33030.42,78182.58
6597,3,7,21,4,7263.07,1385,3351,11417,38955,0,0,10252.59,4074.19,4498.47,12804.31,7325.46,0,0,0
6598,3,6,19,2,10046.69,3364,1799,14771,50399,457,46843,33842.28,2392.37,14164.35,0,0,0,15637.12,31205.88
6599,3,5,17,2,5991.05,474,3943,11784,40207,0,0,21845.03,1778.55,8833.98,5189.23,2560.22,0,0,0
6600,2,4,12,2,2778.26,4745,1177,11743,40067,949,97273,22934.45,6935.08,8737.36,0,1460.11,0,28921.67,68351.33
6601,2,4,10,2,4751.97,6219,666,7521,25662,518,53095,19564.84,3032.09,3065.08,0,0,3550.55,13534.08,36010.37
6602,3,5,17,2,6552.24,586,3627,24604,83949,0,0,38253.96,8861.09,21862.04,11746.59,3225.32,0,0,0
6603,4,10,26,2,8256.76,2987,1271,6209,21185,375,38438,14617.6,3198.47,0,0,3368.93,2697.33,12818.03,22922.64
6604,1,2,3,5,7598.35,4703,1046,4296,14658,137,14043,9750.85,1174.09,3733.06,0,0,0,14043,0
6605,2,3,6,5,27411.12,6457,583,2251,7681,486,49815,4834.95,2524.51,321.25,0,0,2105.53,7506.68,40202.79
6606,3,7,21,2,8530.07,2336,2475,8188,27937,523,53608,12537.68,2639.37,7512.94,0,5247.07,6122.52,24729.27,22756.21
6607,3,5,17,2,7180.05,243,4164,19873,67807,0,0,20222.5,5912.6,31638.55,6432.61,3600.86,0,0,0
6608,2,4,11,2,4702.48,6973,502,6484,22123,994,101885,14770.52,2055.77,923.13,4373.58,0,11404.13,0,90480.87
6609,3,6,18,1,14743.32,4471,1167,14731,50262,0,0,23934.57,3903.1,0,12348.91,10075.42,0,0,0
6610,2,3,6,2,16137.47,6446,621,9285,31680,1403,143808,24594.87,4189.47,2895.66,0,0,35295.2,24553.14,83959.67
6611,3,6,19,2,12289.76,3746,1507,16879,57591,0,0,21536.44,4641.37,8654.6,7444.48,15314.12,0,0,0
6612,4,10,26,3,5463.41,1240,601,1919,6548,129,13223,4861.44,1487.9,198.66,0,0,2943.33,3318.87,6960.8
6613,1,1,2,2,7197.74,6680,434,3212,10959,551,56478,7982.26,2552.57,424.17,0,0,5611.19,10858.67,40008.14
6614,3,5,15,5,7737.81,3081,1763,7197,24556,0,0,9067.27,2093.44,2673.61,5352.52,5369.16,0,0,0
6615,1,2,3,4,7553.73,4687,929,4576,15613,1304,133660,8435.06,3707.35,1391.27,0,2079.32,32944,38495.92,62220.08
6616,4,10,26,2,6589.14,1327,2028,5772,19694,388,39770,11181.27,1778.74,2750.83,0,3983.16,17268.99,22501.01,0
6617,4,10,26,4,6440.02,2633,730,5129,17500,37,3793,12498.07,2377.73,2624.21,0,0,0,3793,0
6618,3,5,17,2,8087.75,1641,2792,13208,45066,0,0,20685.09,4358.27,11212.3,3714.96,5095.39,0,0,0
6619,4,10,26,2,7562.5,1084,1250,6854,23386,191,19578,18741.49,1022.09,3622.42,0,0,12280.73,7297.27,0
6620,4,10,27,2,5211.54,4878,338,11136,37996,1124,115210,29155.06,8427.24,413.7,0,0,0,40168.46,75041.54
6621,4,10,27,2,9263.26,5002,1267,19387,66148,0,0,32494.29,3076.31,1887.08,16954.31,11736.02,0,0,0
6622,4,10,26,5,8539.96,2190,1589,2839,9687,191,19578,5409.82,2682.53,978.36,0,616.29,0,6777.79,12800.21
6623,3,5,14,5,17270.36,5010,1032,4021,13720,131,13428,7120.77,1810.38,870.47,3918.38,0,252.35,0,13175.65
6624,2,3,7,2,14563.96,5735,698,10457,35679,1636,167690,24580.59,9118.98,1979.43,0,0,8870.29,35210.71,123609
6625,4,10,26,5,9870.34,2601,665,3246,11075,190,19475,5212.59,5285.21,577.21,0,0,0,4559.32,14915.68
6626,1,2,3,2,9879.25,5603,521,6902,23550,0,0,16728.6,2235.78,1004.79,0,3580.83,0,0,0
6627,4,8,22,2,4875.64,6460,332,20024,68322,776,79540,51489.29,10089.66,4259.08,0,2483.98,0,23138.8,56401.2
6628,2,4,12,5,3846.67,4642,1171,7859,26815,0,0,8468.55,3333.04,2218.85,4125.89,8668.67,0,0,0
6629,1,2,3,2,7834.5,6335,466,7558,25788,0,0,15824.3,5881.17,2631.69,0,1450.85,0,0,0
6630,4,10,26,2,7503.02,2848,625,7100,24225,298,30545,18195.79,6029.22,0,0,0,6865.11,23679.89,0
6631,4,10,26,2,7169.31,848,1387,7439,25382,425,43563,19586.61,5795.39,0,0,0,16166.34,27396.66,0
6632,4,10,26,5,8506.67,1246,1835,1647,5620,0,0,3054.23,1835.94,729.84,0,0,0,0,0
6633,4,8,22,2,19686.96,6444,387,2924,9977,505,51763,7514.75,2462.25,0,0,0,5461.97,10552.67,35748.37
6634,2,4,10,3,4755.44,7245,600,6337,21622,681,69803,15586.09,3324.45,2711.46,0,0,0,11055.82,58747.19
6635,3,5,15,2,7204.59,3640,1309,10642,36311,643,65908,18857.52,4964.26,12489.22,0,0,5105.85,19274.82,41527.34
6636,2,3,8,2,14998.98,7349,284,4176,14249,871,89278,9577.16,1778.12,0,0,2893.72,6118.02,22587.05,60572.93
6637,2,3,7,5,16986.62,4763,986,7489,25552,0,0,7653.6,2665.44,532.67,6243.77,8456.52,0,0,0
6638,3,5,17,5,7706.01,200,4373,11450,39067,0,0,9660.68,4184.97,11614.51,9509.94,4096.91,0,0,0
6639,4,10,26,4,6822.47,860,1606,1869,6377,325,33313,4706.4,1670.6,0,0,0,8887.9,13971.4,10453.7
6640,2,3,7,5,16986.62,5934,754,9386,32025,0,0,8483.54,2938.62,884.22,8867.01,10851.6,0,0,0
6641,2,4,11,5,5956.56,5210,1044,11398,38890,359,36798,22085.44,8535.42,8269.14,0,0,0,2266.16,34531.84
6642,2,3,8,2,12679.94,6997,358,4517,15412,1127,115518,10796.9,4615.1,0,0,0,0,20317.32,95200.68
6643,3,5,14,2,15536.92,4964,751,16198,55268,0,0,25868.73,5711.87,1876.97,7080.19,14730.24,0,0,0
6644,1,1,2,4,4646.98,6925,342,3873,13215,904,92660,8936.11,2892.33,1386.57,0,0,8154.52,11190.09,73315.39
6645,2,3,8,2,12679.94,6789,413,10898,37184,953,97683,26350.13,6847.78,1370.72,0,2615.36,8642.3,25347.9,63692.8
6646,3,7,20,2,13331.55,1411,2927,22901,78138,0,0,35104.01,3255.17,16377.33,17694.61,5706.87,0,0,0
6647,1,1,2,2,5663.6,6524,402,5054,17244,1889,193623,11976.36,4627.32,640.32,0,0,16408.83,43304.19,133909.98
6648,4,10,26,2,7305.68,2838,1999,15942,54394,380,38950,27237.92,4203.43,10980.88,10636.73,1335.05,0,0,38950
6649,3,5,17,2,6297.04,1530,2719,13398,45714,0,0,20840.66,2825.16,10441.21,7305.19,4301.78,0,0,0
6650,1,2,5,3,12752.4,5365,764,15329,52303,0,0,21799.01,4283.02,2201.31,11689.16,12330.51,0,0,0
6651,3,7,21,1,9709.41,1508,2996,12035,41063,78,7995,9335.27,2949.64,16952.2,7987.11,3838.78,7995,0,0
6652,4,10,27,2,9263.27,7660,64,20723,70707,0,0,34164.67,4920.57,0,10767.11,20854.66,0,0,0
6653,3,5,15,2,8405.11,3118,1681,11018,37593,626,64165,21825.54,2900.56,11811.52,0,1055.38,0,17906.47,46258.54
6654,2,3,9,5,11252.77,7730,335,4422,15088,0,0,2378.02,1640.94,119.63,3895.19,7054.22,0,0,0
6655,3,5,17,2,6996.13,275,4227,16384,55902,0,0,20198.97,4699,22044.21,6057.52,2902.3,0,0,0
6656,2,4,12,2,2969.4,5049,1096,11329,38655,1041,106703,24706.46,4834.58,9113.96,0,0,0,29774.05,76928.95
6657,2,4,11,2,7735.36,5200,1022,50244,171433,0,0,86077.89,19497.61,4677.29,26079.56,35100.65,0,0,0
6658,4,10,26,2,7562.5,1251,1175,8447,28821,323,33108,18891.42,7399.21,2530.38,0,0,0,17797.76,15310.24
6659,1,2,3,5,10062.81,4694,897,4760,16241,432,44280,12967.27,1993.76,1279.97,0,0,5711.99,5822.01,32746.01
6660,1,2,3,4,7438.94,4876,839,6324,21577,8,820,14491.76,3335.47,1893.79,0,1855.98,359.79,460.21,0
6661,4,10,26,2,6206.52,2380,1804,10526,35915,0,0,30901.88,5013.12,0,0,0,0,0,0
6662,4,10,26,2,8244.45,1568,811,7213,24611,371,38028,20409.25,4201.75,0,0,0,8766.04,11913.24,17348.72
6663,1,2,3,5,6663.81,4830,883,4238,14460,222,22755,8125.06,4063.25,2271.69,0,0,1517.79,0,21237.21
6664,1,2,3,4,12121.52,7186,272,3558,12140,119,12198,7536.6,2741.27,0,0,1862.13,3320.16,8877.84,0
6665,2,3,8,2,13136.85,5889,703,8524,29084,0,0,14612.97,5448.67,1512.98,7509.38,0,0,0,0
6666,1,1,2,2,6700.45,6443,457,5316,18138,841,86203,14014.76,3108.32,1014.91,0,0,8451.45,20724.21,57027.34
6667,2,3,9,2,8639.69,7008,336,5673,19356,1569,160823,16320.3,1501.75,0,0,1533.96,38181.59,24063.92,98577.49
6668,4,10,27,2,10270.81,209,2939,4430,15115,0,0,13226.42,1888.58,0,0,0,0,0,0
6669,4,10,26,2,7537.76,2834,1518,20383,69547,943,96658,35631.95,11248.23,22666.82,0,0,5106.29,25808.55,65743.16
6670,3,7,21,2,7217.39,819,4684,9484,32359,235,24088,32359,0,0,0,0,3754.97,6310.84,14022.19
6671,1,1,1,2,6814.27,5459,667,28375,96816,0,0,66486.58,12711.77,17617.65,0,0,0,0,0
6672,1,1,1,5,6546.66,6414,462,4703,16047,0,0,8086.52,3633.91,1683.12,0,2643.46,0,0,0
6673,3,7,20,2,19542.76,3868,1583,20469,69840,0,0,26591.92,5942.86,11060.03,8287.16,17958.03,0,0,0
6674,1,2,3,4,7926.08,6586,380,6194,21134,1022,104755,16442.34,4691.66,0,0,0,18031.21,28132,58591.79
6675,1,2,3,2,7364.81,6618,360,5969,20366,729,74723,16430.65,1631.98,709.08,0,1594.3,13285.23,15887.34,45550.43
6676,3,7,21,3,899.04,2255,2627,18045,61570,0,0,24015.37,2812.54,15728.01,8546.83,10467.24,0,0,0
6677,4,10,27,5,10460.35,88,4099,3553,12123,0,0,6507.79,2541.74,3073.47,0,0,0,0,0
6678,1,2,4,5,15910.29,4684,968,8408,28688,498,51045,20583.56,4489.72,3614.73,0,0,5910.33,17426.05,27708.62
6679,3,5,15,2,6506.71,3076,1703,16438,56086,973,99733,36734.43,9752.51,9599.06,0,0,9440.64,30336.25,59956.11
6680,3,5,13,2,9229.28,4897,699,21064,71870,0,0,42317.07,4513.33,1441.58,9834.46,13763.57,0,0,0
6681,4,8,22,2,4559.17,5797,476,5069,17295,1215,124538,13958.3,2058.26,0,0,1278.44,23158.44,27261.38,74118.19
6682,3,7,21,2,7718.02,2741,2290,21089,71956,744,76260,48344.21,9790.12,13821.68,0,0,0,28584.32,47675.68
6683,3,5,17,2,6297.04,1122,2583,18734,63920,0,0,31858.77,5410.18,15537.02,7519.87,3594.16,0,0,0
6684,4,10,27,5,13757.86,4833,334,13145,44851,0,0,10707.44,5336.63,0,10196.06,18610.87,0,0,0
6685,3,5,14,3,12352.27,3975,1738,3832,13075,1536,157440,8307.56,2822.24,1945.2,0,0,7588.39,30050.74,119800.87
6686,2,3,6,5,19500.09,6129,721,1781,6077,599,61398,3519.63,2287.86,269.51,0,0,6249.8,11816.8,43331.4
6687,2,4,11,3,7064.66,4828,1315,6880,23475,728,74620,14893.78,3940.67,4640.56,0,0,0,22008.72,52611.28
6688,2,3,7,5,20672.11,5869,713,7608,25958,0,0,5835.41,2547.3,2410.6,5423.65,9741.04,0,0,0
6689,2,3,7,2,17230.63,6475,489,5957,20325,653,66933,13299.1,3803.06,1481.33,0,1741.51,11622.48,16002.5,39308.02
6690,1,2,5,2,24080.25,5838,594,20750,70799,0,0,55186.22,5620.77,9992.02,0,0,0,0,0
6691,2,4,12,4,3487.09,4942,1088,5154,17585,440,45100,8639.27,875.39,1012.6,0,7057.75,9372.73,35727.27,0
6692,2,3,8,2,10845.19,6836,372,10695,36491,1061,108753,29508.06,6538,444.94,0,0,20194.49,21271.41,67287.1
6693,1,2,3,5,12423.56,6624,440,3073,10485,110,11275,6079.6,4405.4,0,0,0,381.74,907.33,9985.93
6694,4,8,22,5,5019.89,5548,687,4707,16060,475,48688,8291.59,1309.77,499.44,0,5959.2,0,48688,0
6695,3,5,16,2,15966.07,3279,1589,15395,52528,326,33415,26330.89,5140.83,12367.33,8688.95,0,0,0,33415
6696,3,5,17,2,5367.51,530,3820,17661,60259,187,19168,16111.4,6967.54,32165.78,0,5014.29,6158.55,13009.45,0
6697,3,7,21,2,7756.87,2516,2405,21438,73146,798,81795,43893.52,8944.82,19049.05,0,1258.61,5426.82,30693.95,45674.23
6698,2,4,11,2,4702.48,4705,1338,14871,50740,825,84563,42228.29,2150.22,5015.34,0,1346.16,0,31712.67,52850.33
6699,4,10,26,2,7264.47,1214,793,2718,9274,284,29110,7711.01,1221.45,0,0,341.54,10675.39,9989.85,8444.76
6700,3,6,18,2,11362.76,1643,2622,12518,42711,270,27675,17350.37,4347.53,14762.27,0,6250.83,11637.4,16037.61,0
6701,2,3,7,2,16020.97,4365,1279,11388,38856,537,55042,31227.93,2393.05,5235.02,0,0,0,16750.89,38291.61
6702,3,5,17,2,7530.25,1120,2585,11203,38225,0,0,21540.3,5007.54,4144.64,4432.29,3100.23,0,0,0
6703,3,5,17,2,7421.93,1222,2726,19251,65684,342,35055,31082.27,5815.89,20033.43,8070.23,682.18,0,0,35055
6704,2,3,7,2,15220.05,5221,898,12858,43871,998,102295,31632.54,7284.87,4953.59,0,0,4480.99,24742.41,73071.6
6705,4,10,26,2,6936.83,2426,1330,6354,21680,540,55350,18973.26,2706.74,0,0,0,7638.42,17004.46,30707.11
6706,4,10,26,2,6466.42,1133,1201,5815,19841,369,37823,14657.71,2812.07,2371.22,0,0,18403.37,19419.63,0
6707,3,5,13,3,6631.99,4104,1434,12922,44090,0,0,13241.53,3340.87,9095.38,8813.75,9598.47,0,0,0
6708,3,5,13,2,9396.77,4553,1257,6692,22833,286,29315,12650.37,2891.55,3138,4153.08,0,0,0,29315
6709,1,1,1,2,7854.16,7861,257,2680,9144,0,0,6424.6,1590.75,0,0,1128.65,0,0,0
6710,4,10,26,5,12584.17,2440,535,2866,9779,289,29623,5539.74,2635.22,0,0,1604.04,2400.05,6417.53,20805.42
6711,2,4,10,2,4697.21,7555,667,10827,36942,1202,123205,29993.84,4171.75,2776.41,0,0,14156.41,24398.07,84650.52
6712,1,1,2,4,10364.54,6016,573,1955,6670,1359,139298,4627.38,2042.63,0,0,0,0,22614.66,116683.34
6713,3,5,16,5,14080.54,2961,1917,11494,39218,0,0,16971.97,1629.14,4461.14,8205.49,7950.26,0,0,0
6714,4,10,26,5,10491.68,1288,560,3486,11894,247,25318,6941.18,4952.82,0,0,0,3050.87,8201.06,14066.07
6715,2,3,7,2,17288.76,6743,461,11625,39665,1236,126690,23923.47,7712.75,4256.76,0,3772.02,0,23430.57,103259.43
6716,4,10,26,2,7093.98,1323,1963,8289,28282,436,44690,23096.96,3491.82,1693.22,0,0,19001.19,25688.81,0
6717,2,3,9,3,9160.89,8856,207,5737,19575,816,83640,15958.3,2840.34,776.37,0,0,0,14913.15,68726.85
6718,2,4,12,2,3149.36,4631,1096,14827,50590,667,68368,29561.82,10173.72,10854.46,0,0,0,24075.78,44292.22
6719,3,5,17,2,5878.4,786,3628,12482,42589,222,22755,28742.04,3578.57,5122.35,0,5146.04,0,22755,0
6720,1,2,5,5,11475.23,5606,705,13110,44731,0,0,14127.45,4365.16,3048.33,12130.24,11059.82,0,0,0
6721,3,5,15,2,8458.37,3632,1280,7167,24454,461,47253,12206.65,3738.25,7211.23,0,1297.82,4565,14496.65,28191.36
6722,1,2,3,2,10012.44,4737,867,3060,10441,1074,110085,8005.61,1717.42,717.97,0,0,9152.77,20731.29,80200.94
6723,3,5,17,2,6004.19,167,4473,12322,42043,0,0,21654.49,4988.24,7220.41,6041.98,2137.88,0,0,0
6724,3,5,17,2,6904.97,477,3848,18042,61559,0,0,28170.22,5370.28,17250.63,8406.48,2361.4,0,0,0
6725,2,4,10,2,7049.08,7422,610,40096,136808,0,0,54968.4,15775.42,10563.75,21176.41,34324.01,0,0,0
6726,1,1,1,2,5629.1,7028,314,25048,85464,0,0,79236.59,4704.86,1522.55,0,0,0,0,0
6727,2,4,10,2,4963.08,9755,298,33442,114104,0,0,75566.73,5077.43,2598.5,24802.57,6058.78,0,0,0
6728,2,4,12,3,2603.35,4976,1019,16119,54998,686,70315,36694.8,11683.91,3994.54,0,2624.75,0,18601.72,51713.28
6729,2,4,12,3,2637.72,5295,917,14802,50504,0,0,21914.63,1734.5,3371.34,10994.28,12489.25,0,0,0
6730,1,1,1,2,5414.54,6735,429,5329,18183,0,0,10190.66,2730.15,517.5,3846.28,898.41,0,0,0
6731,3,5,17,2,6552.24,552,3709,25192,85955,240,24600,33704.11,3465.65,31529.64,11881.72,5373.89,24600,0,0
6732,3,5,16,2,14549.08,3588,1350,24524,83676,0,0,47712.37,4942.08,9506.55,10228.07,11286.93,0,0,0
6733,2,4,12,3,2603.35,4882,1038,7767,26501,479,49098,18683.45,3181.68,4635.88,0,0,0,10088.94,39009.06
6734,1,2,4,2,15489.58,4784,935,13652,46581,1202,123205,30152.12,4502.22,3967.78,7958.88,0,0,0,123205
6735,2,4,12,2,2935.68,4783,1329,22749,77620,1732,177530,46483.73,5272.96,9401.6,14362.74,2098.97,9102.02,0,168427.98
6736,4,8,22,2,6050.4,6151,428,8380,28593,1158,118695,17414.53,3708.7,7469.77,0,0,6313.83,29916.35,82464.82
6737,1,1,2,3,3360.27,5838,562,4801,16381,591,60578,12522.39,2979.32,879.29,0,0,7583.75,11621.81,41372.44
6738,4,9,25,2,14567.19,4188,416,6384,21782,617,63243,19378.04,2403.96,0,0,0,15077.25,17135.84,31029.91
6739,3,6,19,2,10703.34,3594,1317,11093,37849,0,0,24393.02,2497.91,6371,4587.07,0,0,0,0
6740,2,3,6,2,16137.47,5772,723,9929,33878,938,96145,25924.52,3908.69,4044.8,0,0,15973.39,19795.59,60376.02
6741,2,3,7,2,14797.17,5236,825,21868,74614,25,2563,33145.71,5614.63,7613.53,13380.66,14859.48,2563,0,0
6742,3,7,21,2,7133.12,2242,2581,17285,58976,0,0,24751.37,7986.91,9563.05,7704.39,8970.29,0,0,0
6743,1,2,3,2,7252.89,6260,656,6611,22557,40,4100,17023.56,3677.74,1855.7,0,0,4100,0,0
6744,3,5,13,2,10128.15,3564,1495,17493,59686,946,96965,31496.16,7488.78,17655.27,0,3045.79,17096.18,33176.19,46692.63
6745,1,1,2,4,6494.11,6068,560,1086,3705,1089,111623,2050.02,1398.47,256.51,0,0,9543.99,24032.79,78046.21
6746,3,6,18,2,9713.22,2658,2006,13386,45673,0,0,22340.14,2135,4236.16,8132.24,8829.46,0,0,0
6747,1,2,3,5,11536.62,5352,605,1220,4163,0,0,1979.19,1929.52,254.29,0,0,0,0,0
6748,3,5,16,2,10081.24,3426,1455,16604,56653,0,0,31747.77,5627.72,6907.02,12370.49,0,0,0,0
6749,3,6,18,2,10352.14,3386,1573,30165,102923,25,2563,58100.77,9121.09,12685.79,17576.85,5438.52,2563,0,0
6750,4,10,26,2,7169.31,1112,1032,12259,41828,1466,150265,30369.61,4252.28,7206.11,0,0,22640.32,55434.08,72190.6
6751,3,7,21,2,9687.46,2292,2510,10054,34304,811,83128,14859.17,4578.16,14866.67,0,0,1133.94,26942.97,55051.1
6752,2,3,7,2,16186.36,5477,852,6771,23103,490,50225,18838.36,4264.64,0,0,0,0,13263.15,36961.85
6753,2,4,10,2,5756.09,9160,249,8635,29463,0,0,22493.99,5365.77,1603.25,0,0,0,0,0
6754,2,3,7,5,17796.13,5684,627,7234,24682,729,74723,21974.55,2707.45,0,0,0,10987.4,23809.4,39926.21
6755,1,2,3,5,10337.14,5707,735,4083,13931,501,51353,11062.13,2868.87,0,0,0,7376,11386.98,32590.02
6756,2,4,12,5,2986.71,5030,1053,26605,90776,0,0,45349.35,5012.58,0,21445.6,18968.47,0,0,0
6757,4,10,26,2,7169.31,1071,1645,7254,24751,423,43358,15037.1,6594.02,3119.88,0,0,10286.6,16870.37,16201.03
6758,4,10,27,2,7136.88,9867,37,7421,25320,2589,265373,23029.86,2290.14,0,0,0,0,60499.4,204873.61
6759,3,5,17,2,6763.24,1427,2770,19026,64917,0,0,33491.6,3237.17,18145.32,6245.28,3797.63,0,0,0
6760,4,10,26,2,7169.31,1109,1225,5613,19152,457,46843,14053.5,4477.81,620.68,0,0,21805.7,25037.3,0
6761,3,5,14,3,10329.36,4876,777,2896,9881,1153,118183,7489.58,1907.75,483.67,0,0,7900.33,26126.69,84155.99
6762,2,3,6,2,16137.47,6536,564,10397,35475,1553,159183,30933.83,1895.81,1270.4,0,1374.97,10354.1,32880.56,115948.35
6763,3,6,18,2,13607.22,4258,1176,7768,26504,0,0,14365.6,4010.24,0,8128.17,0,0,0,0
6764,1,2,3,2,7364.81,6324,429,8673,29592,722,74005,25274.41,3414.09,903.5,0,0,14888.34,18315.53,40801.13
6765,3,6,19,2,10063.59,3821,1398,19967,68127,507,51968,34208.85,5847.2,16320.41,9887.84,1862.72,0,0,51968
6766,1,1,1,2,6814.27,5312,707,16652,56817,0,0,39131.8,9391.4,8293.8,0,0,0,0,0
6767,4,8,23,2,11330.02,5983,732,10144,34611,490,50225,24491.56,7238.71,2880.74,0,0,0,13236.15,36988.85
6768,3,5,16,5,14080.54,3030,1874,14174,48362,0,0,23727.67,1998.62,3247.11,10066.41,9322.2,0,0,0
6769,1,1,1,4,7017.62,5699,618,4508,15381,709,72673,12148,1989.66,1243.34,0,0,0,26239.47,46433.53
6770,1,1,1,2,5629.1,6635,379,5519,18831,0,0,10801.44,1571.79,293.07,5000.67,1164.04,0,0,0
6771,2,3,7,2,17288.76,6264,571,3878,13232,1406,144115,10728.21,2053.23,450.69,0,0,4522.58,26864.74,112727.68
6772,2,4,11,2,5313.71,4578,1483,6337,21622,770,78925,10247.81,2073.53,9300.65,0,0,5955.12,19885.69,53084.19
6773,4,10,26,5,9431.33,1408,1256,2096,7152,129,13223,3832.71,1457.4,1861.9,0,0,0,3839.11,9383.9
6774,1,2,3,4,8444.79,6670,425,5649,19274,923,94608,14182.24,4331.83,759.93,0,0,14505.13,17914.29,62188.58
6775,3,5,16,1,18040.12,4099,1280,22101,75409,0,0,30239.5,6174.05,21605.29,14994.47,2395.69,0,0,0
6776,3,5,17,2,6552.24,1026,3588,20480,69878,0,0,36192.46,3999.37,17365.12,7407,4914.05,0,0,0
6777,3,7,21,2,8101.63,2272,2457,17547,59870,364,37310,25903.3,7758.1,19332.78,0,6875.82,0,37310,0
6778,3,5,15,3,5790.87,2365,2075,10529,35925,0,0,14170.68,5103.57,7698.91,4657.63,4294.2,0,0,0
6779,2,4,10,2,4193.99,7431,670,7483,25532,1300,133250,19028.33,3025.65,1968.48,0,1509.55,11268.23,35089.94,86891.82
6780,1,1,2,4,4914.85,6371,460,7024,23966,0,0,15198.2,5224.11,1643.16,0,1900.53,0,0,0
