Survey Year,Census Region,Census Division,Four Largest States,Type of Home  (Respondent answer),The Final Weight,Heat Deg-Days: Base65 01 TO 12-2005 (Inoculated),Cool Deg-Days: Base65 01 TO 12-2005 (Inoculated),Kilowatt Hours Of Electricity Used,Electric Annual Use In Thousands of BTU,CCFS (Hundred Cubic Feet) Of Natural Gas,Natural Gas Annual Use In Thousands Of BTU,Electric Dryer Use (Estimated) in Thousands of BTU,Electric Dishwasher Use (Estimated) in Thousands of BTU,Electric Freezer Use (Estimated) in Thousands of BTU,Electric Refrigerator Use (Estimated) in Thousands of BTU,Electric Cooking or Use (Estimated) in Thousands of BTU,Electric AC Use (Estimated) in Thousands of BTU,Electric Water Heat Use (Estimated) in Thousands of BTU,Electric Space Heat Use (Estimated) in Thousands of BTU,Electric Appliance Use (Estimated) in Thousands of BTU,Natural Gas Appliance Use (Estimated) in Thousands of BTU,Natural Gas Water Heat Use (Estimated) in Thousands of BTU,Natural Gas Space Heat Use (Estimated) in Thousands of BTU
1997,2,3,0,5,24311,6550,669,6140,20950,0,0,0,260,0,2383,418,760,3157,11777,2873,0,0,0
1997,4,8,0,2,13398,1026,4651,8790,29991,322,33069,0,0,0,5565,758,15398,0,0,9028,0,10569,22500
1997,1,2,1,1,16447,4891,940,10395,35468,0,0,0,0,2598,3436,1465,0,13352,0,18680,0,0,0
1997,3,5,0,2,20385,3627,1280,21989,75026,0,0,0,0,0,5895,1836,4031,16225,31878,16997,0,0,0
1997,2,3,0,2,31188,6640,658,4203,14340,1711,175720,0,0,0,2874,999,1479,0,0,9987,4051,36259,135410
1997,3,7,3,2,23506,1574,2804,30556,104258,0,0,4740,555,5279,6825,1785,24353,16098,16459,40523,0,0,0
1997,1,1,0,2,7379,5599,769,4932,16829,1542,158342,2426,0,0,3333,0,888,0,0,12608,9204,33614,115524
1997,1,2,0,2,13591,5729,632,9240,31527,0,0,0,323,0,4670,1115,3075,7748,2110,13924,0,0,0
1997,2,4,0,5,20342,5380,1091,3337,11386,390,40053,0,0,0,1716,874,1797,0,0,7873,0,19178,20875
1997,3,6,0,2,12865,3228,1555,11023,37610,0,0,3970,0,6078,5054,1811,5616,5054,1186,20700,0,0,0
1997,1,1,0,3,8642,8055,256,2210,7541,0,0,0,0,0,1730,0,0,0,0,5811,0,0,0
1997,3,6,0,2,9684,3633,1314,31363,107011,0,0,6109,0,0,5751,4927,8094,22248,32206,38712,0,0,0
1997,3,7,0,2,11634,1567,2831,2885,9846,581,59686,0,0,0,2188,0,3228,0,0,4430,8066,29269,22351
1997,2,3,0,3,18593,7602,429,9841,33577,0,0,0,0,0,2644,2253,1129,13793,0,16011,0,0,0
1997,3,5,0,5,18657,2465,1692,7868,26846,0,0,0,0,0,3344,1588,4463,4326,2593,12120,0,0,0
1997,2,4,0,2,19916,8164,575,3467,11829,1155,118618,0,0,1176,3724,0,576,0,0,7529,8616,16441,93561
1997,1,2,1,4,13900,4682,1047,4619,15761,661,67922,0,0,0,2950,0,2832,0,0,9979,5841,22531,39550
1997,3,7,0,2,32576,3827,1701,27449,93656,2102,215875,0,5994,7398,13891,3416,19919,0,0,59846,18109,73292,124474
1997,1,2,1,1,14391,4673,1051,7394,25228,0,0,3341,0,5465,3881,0,0,0,0,21347,0,0,0
1997,3,5,0,2,25482,3454,1236,25589,87310,0,0,4326,2820,4800,4671,1151,4545,11493,21094,45507,0,0,0
1997,3,5,0,2,20385,4316,1081,21237,72461,0,0,2999,477,0,4277,1089,7260,9926,32552,18446,0,0,0
1997,3,5,0,2,21276,4332,973,14298,48785,0,0,3774,441,0,4319,0,4109,14414,1127,24816,0,0,0
1997,1,2,0,1,19120,6345,446,6458,22035,0,0,1947,0,0,1936,0,0,9110,0,10989,0,0,0
1997,1,1,0,2,7165,7087,341,8663,29558,0,0,3120,0,1700,2358,1667,792,8733,0,17675,0,0,0
1997,3,6,0,5,5714,4384,1281,4625,15781,162,16628,4377,215,975,1689,982,2415,0,549,11128,0,16628,0
1997,2,3,0,2,16987,6513,515,20181,68858,0,0,6324,3019,5730,6867,0,5666,0,0,56325,0,0,0
1997,4,8,0,1,16152,1574,3240,3262,11129,309,31750,1508,0,0,3727,683,0,0,0,7402,3387,10027,18336
1997,1,1,0,4,11765,5634,789,6168,21045,1148,117900,0,0,0,8009,0,0,0,0,13036,5507,21559,90834
1997,2,4,0,2,12055,4937,1374,12700,43332,1321,135667,3714,0,0,8741,0,6450,0,0,28141,9992,36578,89097
1997,1,2,1,5,64924,6746,370,3891,13276,399,40977,2450,287,0,1884,0,659,0,0,10733,0,20730,20247
1997,3,5,4,1,20705,975,2129,29201,99636,0,0,10154,0,0,4895,3977,9950,25261,7029,52501,0,0,0
1997,3,5,0,2,8485,2468,1691,3532,12051,726,74560,0,0,4383,2126,0,1714,0,0,8211,4372,13236,56952
1997,3,5,0,1,8433,2840,2018,5369,18319,53,5436,1816,0,0,2176,0,3320,5760,0,7063,5436,0,0
1997,4,8,0,1,14095,1060,4497,7921,27028,0,0,0,0,0,4064,539,12427,2829,4580,3128,0,0,0
1997,2,3,0,2,19833,7439,462,6731,22966,2147,220497,0,0,0,4534,0,0,0,0,18432,19041,42851,158605
1997,2,3,0,2,23139,7725,441,9170,31288,1026,105370,0,532,0,4175,3323,3170,0,0,23943,5252,23929,76189
1997,4,9,0,2,20300,4613,203,6564,22396,987,101365,2794,1821,0,3498,911,0,0,0,18898,0,33249,68116
1997,2,3,0,2,8500,6343,596,9819,33502,617,63366,7138,0,2081,7587,2192,0,0,0,25915,0,23868,39498
1997,3,7,3,2,24722,2328,2656,13177,44960,529,54328,0,0,0,7693,0,11390,0,0,25877,5426,19459,29443
1997,4,8,0,3,9724,954,4984,13366,45605,0,0,2902,423,0,5683,964,14793,8548,1317,15264,0,0,0
1997,3,7,0,2,17953,1818,2149,11562,39450,385,39540,5157,0,7832,8766,0,5002,0,0,25682,2722,8110,28708
1997,3,5,4,2,16564,285,3933,16145,55087,0,0,3761,0,0,4011,1898,21619,10509,2042,16906,0,0,0
1997,2,3,0,2,22407,6558,701,8647,29504,1767,181471,1747,1414,0,3514,1412,468,8685,522,16315,14246,0,167225
1997,3,5,0,2,23356,4489,1150,25509,87037,0,0,4056,0,2744,3738,2161,8867,19271,23668,31493,0,0,0
1997,3,6,0,2,12810,3576,1221,10899,37187,0,0,2049,0,0,4151,995,2280,4487,15458,10811,0,0,0
1997,1,2,1,5,17078,4638,1135,1139,3886,59,6059,0,0,0,916,0,0,0,0,2970,6059,0,0
1997,1,2,0,2,22362,6512,358,5651,19281,1380,141726,2217,1970,0,2694,0,0,0,0,16587,4930,23977,112819
1997,3,6,0,2,12105,3669,1308,9290,31697,0,0,3740,0,0,2488,1127,1333,7299,9582,10995,0,0,0
1997,1,1,0,4,9466,6208,622,4165,14211,758,77847,0,0,0,3650,775,551,0,0,10010,0,20340,57507
1997,1,2,1,2,15445,6878,478,10613,36212,1305,134023,3806,2481,3119,3108,0,5815,0,0,27289,7791,36347,89885
1997,1,1,0,5,5473,5860,503,11929,40700,0,0,0,552,0,4479,2803,1409,14155,8250,12407,0,0,0
1997,2,3,0,5,21861,7690,448,5659,19309,0,0,0,0,0,1873,585,873,3658,6770,6135,0,0,0
1997,3,6,0,2,15132,1592,2514,29417,100371,0,0,5142,602,0,17607,2884,22902,16915,11572,31375,0,0,0
1997,2,4,0,2,10890,8075,637,12878,43940,0,0,0,462,7583,3741,2113,0,11215,0,28984,0,0,0
1997,3,6,0,4,13447,4302,1389,5569,19001,307,31529,0,0,0,3888,0,6264,0,0,8849,1464,5617,24448
1997,1,2,1,3,6819,6867,482,17928,61170,0,0,4289,0,0,3482,1142,1011,12294,25701,18682,0,0,0
1997,3,6,0,2,10285,4076,1120,37140,126722,1350,138645,0,0,0,23997,5358,34808,0,0,67917,13151,31835,93659
1997,3,5,4,2,25882,938,2602,23377,79762,0,0,10611,0,7587,7796,3742,7379,16294,7785,40508,0,0,0
1997,3,7,0,2,10955,1775,2451,13664,46622,0,0,0,0,0,4763,2648,0,14388,15019,12452,0,0,0
1997,2,4,0,2,10985,8343,541,10809,36880,0,0,0,2587,0,3022,0,1758,16069,0,16031,0,0,0
1997,3,5,0,2,20785,2934,1252,8013,27340,782,80311,2404,351,1269,2752,799,3265,7614,0,13709,0,0,80311
1997,4,9,2,2,15662,2111,1013,6808,23229,0,0,1395,909,1418,3030,564,0,3580,1067,15552,0,0,0
1997,3,7,3,2,12782,1510,2782,11238,38344,513,52685,0,0,9878,5555,0,9159,0,0,23630,5775,17086,29824
1997,4,8,0,2,23445,897,5241,13143,44844,0,0,2548,372,2515,2518,847,10952,0,9861,21513,0,0,0
1997,3,5,0,1,17321,2964,1187,10540,35962,550,56485,0,0,1047,6176,1821,8504,8816,0,12466,0,0,56485
1997,3,5,0,5,18657,2376,1740,6223,21233,0,0,0,0,0,2803,1162,1231,5067,1849,10283,0,0,0
1997,2,3,0,2,31188,6417,774,12567,42879,1938,199033,0,0,0,8290,0,3157,0,1783,29649,11851,23385,163797
1997,1,2,1,2,17606,7082,408,16244,55425,0,0,5742,4649,6541,4577,4630,3541,0,0,47307,0,0,0
1997,3,7,3,2,17629,1308,3085,10589,36131,422,43382,0,395,0,4346,1272,14551,0,0,17234,3004,23369,17009
1997,1,2,1,4,14313,6909,327,3828,13061,0,0,0,0,4005,1672,0,0,0,756,10633,0,0,0
1997,3,7,3,5,15044,1581,2727,7625,26017,0,0,0,360,0,2836,819,6233,7203,2120,7625,0,0,0
1997,1,2,1,2,22363,6988,307,4798,16371,1717,176336,0,432,0,3377,695,546,0,0,12448,0,22521,153815
1997,2,3,0,5,11114,7943,391,3743,12769,489,50267,0,0,0,3027,1630,916,0,1702,7124,0,12706,37561
