Survey Year,Census Region,Census Division,Four Largest States,Type of Home  (Respondent answer),The Final Weight,Heat Deg-Days: Base65 01 TO 12-2005 (Inoculated),Cool Deg-Days: Base65 01 TO 12-2005 (Inoculated),Kilowatt Hours Of Electricity Used,Electric Annual Use In Thousands of BTU,CCFS (Hundred Cubic Feet) Of Natural Gas,Natural Gas Annual Use In Thousands Of BTU,Electric Dryer Use (Estimated) in Thousands of BTU,Electric Dishwasher Use (Estimated) in Thousands of BTU,Electric Freezer Use (Estimated) in Thousands of BTU,Electric Refrigerator Use (Estimated) in Thousands of BTU,Electric AC Use (Estimated) in Thousands of BTU,Electric Water Heat Use (Estimated) in Thousands of BTU,Electric Space Heat Use (Estimated) in Thousands of BTU,Electric Appliance Use (Estimated) in Thousands of BTU,Natural Gas Appliance Use (Estimated) in Thousands of BTU,Natural Gas Water Heat Use (Estimated) in Thousands of BTU,Natural Gas Space Heat Use (Estimated) in Thousands of BTU
2005,3,6,0,2,22431.16131,3653,1685,19845,67712,999999,9999999,5287,883,0,4289,15050,16318,12839,19216,9999999,9999999,9999999
2005,2,3,0,4,42494.2712,4914,1164,2255,7693,320,32887,0,0,0,980,1033,0,0,5680,0,0,32887
2005,3,5,0,2,33714.49297,2133,2271,14451,49307,657,67605,3587,599,5200,3512,17962,3831,1280,22722,0,0,67605
2005,4,9,0,1,21770.72697,4611,975,10916,37245,999999,9999999,0,0,0,4433,4715,9869,9866,8362,9999999,9999999,9999999
2005,2,3,0,5,9680.133628,6032,1125,3050,10406,778,80097,0,0,0,3635,2038,0,0,4733,5414,10296,64387
2005,1,2,0,2,30307.03354,5854,857,4897,16709,1277,131403,2291,383,0,2243,2768,0,0,11698,0,36520,94883
2005,2,3,0,5,6656.431988,5612,1304,5173,17650,819,84275,0,0,0,3370,3101,0,0,11179,11415,21707,51153
2005,4,8,0,2,25292.66418,1667,3401,20411,69642,515,52994,0,636,5521,6200,30509,0,6684,26249,18137,34857,0
2005,3,5,0,2,27504.07858,4156,808,35308,120471,999999,9999999,8468,775,6723,16205,14243,14294,13528,62201,9999999,9999999,9999999
2005,3,5,4,2,36752.87441,193,4136,24178,82496,999999,9999999,4356,727,0,4758,28906,19012,2701,27119,9999999,9999999,9999999
2005,2,4,0,2,6998.157811,7120,971,10710,36543,1019,104855,0,765,0,8786,5985,0,0,21772,11804,22780,70271
2005,3,6,0,1,20260.24292,2959,2274,23855,81393,999999,9999999,12019,1099,7526,2808,21930,14346,2858,39451,9999999,9999999,9999999
2005,4,8,0,2,47510.52568,7444,75,5165,17623,999999,9999999,0,0,3403,2415,0,0,5143,10065,9999999,9999999,9999999
2005,4,8,0,2,21304.91041,4752,1424,11627,39671,1060,109074,2558,427,0,4531,12996,0,1402,20742,7558,37058,64458
2005,4,8,0,2,19849.29541,5214,946,13046,44512,650,66885,0,533,4624,3123,3356,8514,0,29519,0,0,66885
2005,1,1,0,2,11185.78514,7326,520,7999,27293,999999,9999999,2757,807,0,2164,1749,0,0,23380,9999999,9999999,9999999
2005,3,5,0,2,46640.72029,5475,703,8148,27801,999999,9999999,3187,0,4620,2585,804,4911,0,19501,9999999,9999999,9999999
2005,3,6,0,2,22977.31132,1563,2511,38508,131389,0,0,5748,960,8333,15167,40047,14479,6630,55066,0,0,0
2005,2,3,0,2,30280.66002,7320,764,6629,22618,772,79439,0,0,3179,4394,3186,0,1892,13146,7313,20717,51409
