"","state","energy type","curvature","DD at lowest energy use","DDmax","DDmin","energy use at highest DD","energy use at lowest DD","lowest energy use"
"29","New Mexico","electricity","0.0022970297586086","0.81058319932607","0.139427393965453","0.056154507552602","0.00315191260209344","0.98186430737093","0.121020023144825"
"30","New York","electricity","1.37279932634985e-07","0.000724783847336696","0.945581527320767","0.822180772693652","2.39624239812444e-17","2.25422323911362e-11","3.02226844997923e-12"
"31","North Carolina","electricity","0.000569876444114951","0.0290908765037091","0.546528873831714","0.541725211752272","5.81276012343473e-08","0.000603814055576873","0.00232209819254987"
"32","North Dakota","electricity","2.81817803755703e-08","0.0122323585815148","0.273926854633756","0.0282995479640711","3.10331796402568e-05","0.0164570840991146","0.24747871142387"
"33","Ohio","electricity","0.0492585183867796","0.146847456505356","0.353364552352173","0.599597664151486","0.000416285565022837","7.0449762802198e-05","2.02679379116422e-06"
"34","Oklahoma","electricity","2.86446659311517e-05","0.000291583499548411","0.385653280220426","0.597355665124788","0.00450545887375118","1.02317897731972e-05","1.25001511469103e-05"
"35","Oregon","electricity","0.0169404690720359","1.7025070068783e-07","0.448577034933062","0.672689862399213","4.15092246403815e-06","6.56843247506245e-05","0.094625757366621"
"36","Pennsylvania","electricity","0.00665235124788694","0.00217893604539383","0.373919131877361","0.320672923658898","5.18828901931547e-07","2.27622396301878e-06","1.78278780511592e-08"
"37","Rhode Island","electricity","6.06094696545495e-07","2.81117040703207e-05","0.0815934097814645","0.807286110036351","1.97468420779108e-10","2.78687503360652e-05","5.17973743641717e-05"
"38","South Carolina","electricity","0.0132176841691435","0.410220133360108","0.966022028388617","0.469500940980822","0.00287493597240944","0.0251681353572582","0.00892288919386177"
"39","South Dakota","electricity","1.13438088344707e-06","0.18220448003064","0.145896792650864","0.0714233261644704","5.91503140015418e-06","4.97752622860268e-08","1.30706913474648e-10"
"40","Tennessee","electricity","0.192491184955382","0.000241090106659384","0.781816399467717","0.285401590356429","0.081762560256572","0.801142893279278","0.0217551074384882"
"41","Texas","electricity","0.000345685680721343","0.000227869756887684","0.210718175822111","0.847908753986426","0.0632254273123456","0.00673020206371123","0.145334514503504"
"42","Utah","electricity","6.17369773143915e-08","3.43448836297242e-08","0.0651529188562384","0.539074928396858","2.96514962255912e-09","0.00333946306086931","5.05958362382896e-07"
"43","Vermont","electricity","3.48334268027912e-05","0.0327549919615504","0.761406036099766","0.813555228901126","7.94007891712725e-09","4.29619884533906e-06","8.8279553715485e-10"
"44","Virginia","electricity","0.611892034193498","2.00097515979803e-06","0.182988739234418","0.510190654937591","0.80723385929849","4.71543904164651e-08","8.89801420328445e-06"
"45","Washington","electricity","0.00105790470082276","3.03806463944112e-05","0.976079743419722","0.803520963172815","0.00202633724309187","2.43355848601608e-05","0.0635219288834685"
"46","West Virginia","electricity","0.00706126203912183","0.0554743996613833","0.850521793814382","0.144871794463328","0.00018136465134687","2.70907790457021e-08","1.03849032981997e-07"
