,state,energy type,curvature,DD at lowest energy use,DDmax,DDmin,energy use at highest DD,energy use at lowest DD,lowest energy use,,,,,,,,,,,,,,,,,,,,,,,,
14,Kansas,electricity,3.87E-05,3.507662835,1.329775588,2.47755884,17.17450485,16.25140276,6.55110498,,,,,,,,,,,,,,,,,,,,,,,,
15,Kentucky,electricity,6.10E-06,0.802955665,0.082922824,-2.712917351,12.52207698,23.50285577,12.92257127,,,,,,,,,,,,,,,,,,,,,,,,
16,Louisiana,electricity,7.47E-05,5.34619595,0.318007663,-0.709906951,17.96136479,33.89537014,18.48399128,,,,,,,,,,,,,,,,,,,,,,,,
17,Maine,electricity,0.000158563,-13.05446086,0.53256705,2.877120963,90.38322736,30.35733654,23.34121071,,,,,,,,,,,,,,,,,,,,,,,,
18,Maryland,electricity,2.23E-05,-1.660098522,0.139573071,-2.481937603,10.12539677,9.971070348,2.178979681,,,,,,,,,,,,,,,,,,,,,,,,
19,Massachusetts,electricity,3.66E-06,-10.70552819,1.85030104,0.53667214,2.05470282,0.842437381,0.831910584,,,,,,,,,,,,,,,,,,,,,,,,
20,Michigan,electricity,2.34E-05,-2.070333881,1.188834154,-1.853037767,13.84660828,10.8549729,5.327262638,,,,,,,,,,,,,,,,,,,,,,,,
21,Minnesota,electricity,1.72E-05,-1.018062397,2.643404488,2.417350848,11.5122904,13.35419599,5.745321602,,,,,,,,,,,,,,,,,,,,,,,,
22,Mississippi,electricity,0.000105037,2.572249589,1.368363437,-0.044882321,39.82228164,62.25265654,31.69476157,,,,,,,,,,,,,,,,,,,,,,,,
23,Missouri,electricity,1.50E-05,6.586480569,1.332512315,1.634920635,7.123721822,12.07700364,5.783358893,,,,,,,,,,,,,,,,,,,,,,,,
24,Montana,electricity,4.01E-05,-10.34783799,3.673782157,3.681992337,15.27692501,11.59622735,9.577477584,,,,,,,,,,,,,,,,,,,,,,,,
25,Nebraska,electricity,0.00031528,-0.497536946,1.871100164,4.568965517,184.6851277,138.1346391,69.21897944,,,,,,,,,,,,,,,,,,,,,,,,
26,Nevada,electricity,9.58E-06,-3.817186645,2.287082649,4.699507389,-4.783372175,-10.20620112,-6.007184245,,,,,,,,,,,,,,,,,,,,,,,,
27,New Hampshire,electricity,4.33E-05,6.36453202,4.317186645,1.483032293,14.39780619,31.30090734,7.848173663,,,,,,,,,,,,,,,,,,,,,,,,
28,New Jersey,electricity,2.78E-06,-11.9679803,1.607827039,-2.130268199,2.301876303,0.911103417,1.002347432,,,,,,,,,,,,,,,,,,,,,,,,
29,New Mexico,electricity,0.000139437,-0.250684182,1.528461959,2.975369458,39.17765642,-0.147976692,-6.00006301,,,,,,,,,,,,,,,,,,,,,,,,
30,New York,electricity,4.79E-06,-6.720306513,0.092501368,-0.726327313,3.014012565,1.893431742,1.226444164,,,,,,,,,,,,,,,,,,,,,,,,
31,North Carolina,electricity,2.18E-05,-3.59168035,0.634646962,-1.478927203,10.62144117,2.538442899,1.606049918,,,,,,,,,,,,,,,,,,,,,,,,
32,North Dakota,electricity,0.000474629,-9.397372742,2.084291188,7.858237548,303.7377218,105.9370161,35.87321904,,,,,,,,,,,,,,,,,,,,,,,,
33,Ohio,electricity,2.47E-05,-1.380952381,1.480569239,-1.786808976,16.61735602,15.6289654,7.851569774,,,,,,,,,,,,,,,,,,,,,,,,
34,Oklahoma,electricity,4.15E-05,3.048440066,1.533388068,1.098522167,17.53351221,20.2217253,8.635854823,,,,,,,,,,,,,,,,,,,,,,,,
35,Oregon,electricity,5.84E-05,-10.90941434,0.73316913,-0.805966065,6.979535261,-15.63051093,-1.81523066,,,,,,,,,,,,,,,,,,,,,,,,
36,Pennsylvania,electricity,2.45E-05,-3.890804598,1.172687466,-3.038861522,18.03543094,16.38563094,9.098214703,,,,,,,,,,,,,,,,,,,,,,,,
37,Rhode Island,electricity,4.31E-05,-8.226600985,2.391899288,0.74438971,19.70637331,6.6255353,3.232228673,,,,,,,,,,,,,,,,,,,,,,,,
38,South Carolina,electricity,4.17E-05,-0.492063492,-0.046524357,-1.69759168,15.35121659,15.11774399,5.747486111,,,,,,,,,,,,,,,,,,,,,,,,
39,South Dakota,electricity,3.62E-05,-4.910782704,3.215106732,5.322660099,19.70906116,26.69413738,12.49295925,,,,,,,,,,,,,,,,,,,,,,,,
40,Tennessee,electricity,-1.95E-05,-2.323754789,0.379310345,-2.888888889,8.567959939,1.746769476,4.490330481,,,,,,,,,,,,,,,,,,,,,,,,
41,Texas,electricity,4.32E-05,3.225779967,1.348385331,0.322386426,7.224160375,9.529667744,1.823419639,,,,,,,,,,,,,,,,,,,,,,,,
42,Utah,electricity,3.35E-05,-9.918719212,2.807060755,1.742474001,23.93273293,4.815314045,4.030451258,,,,,,,,,,,,,,,,,,,,,,,,
43,Vermont,electricity,0.000699461,-1.815270936,0.434044882,0.83607006,385.8766881,342.9552665,175.0123291,,,,,,,,,,,,,,,,,,,,,,,,
44,Virginia,electricity,2.49E-07,-11.20087575,1.602627258,-1.785714286,0.029499268,-1.056757016,-0.406279922,,,,,,,,,,,,,,,,,,,,,,,,
